Entity,Year,Number of neonatal deaths (IHME - 2017)
Italy,1990,3520
Italy,1991,3419
Italy,1992,3267
Italy,1993,2908
Italy,1994,2605
Italy,1995,2443
Italy,1996,2390
Italy,1997,2230
Italy,1998,2033
Italy,1999,1969
Italy,2000,1801
Italy,2001,1804
Italy,2002,1706
Italy,2003,1590
Italy,2004,1569
Italy,2005,1514
Italy,2006,1507
Italy,2007,1461
Italy,2008,1474
Italy,2009,1459
Italy,2010,1342
Italy,2011,1241
Italy,2012,1192
Italy,2013,1131
Italy,2014,1063
Italy,2015,1001
Italy,2016,925
Italy,2017,875
