Entity,Year,"Child mortality 1950-2017 (IHME, 2018)"
Italy,1950,84.3
Italy,1955,64.99
Italy,1960,56.37
Italy,1965,44.76
Italy,1970,36.52
Italy,1975,25.87
Italy,1980,18.59
Italy,1985,13.34
Italy,1990,10.4
Italy,1995,7.96
Italy,2000,5.76
Italy,2005,4.84
Italy,2010,4.21
Italy,2017,3.5
