Entity,Year,Mean BMI (NCDRisC (2017))
Italy,1975,24.47078426
Italy,1976,24.52964947
Italy,1977,24.58751236
Italy,1978,24.64511044
Italy,1979,24.7030655
Italy,1980,24.76122544
Italy,1981,24.81893066
Italy,1982,24.87628754
Italy,1983,24.93323965
Italy,1984,24.99001717
Italy,1985,25.04700423
Italy,1986,25.10389968
Italy,1987,25.16105068
Italy,1988,25.22010906
Italy,1989,25.28119631
Italy,1990,25.34437097
Italy,1991,25.41036595
Italy,1992,25.47977964
Italy,1993,25.55296687
Italy,1994,25.62952151
Italy,1995,25.70991392
Italy,1996,25.79354002
Italy,1997,25.8778452
Italy,1998,25.96182032
Italy,1999,26.04532529
Italy,2000,26.12721843
Italy,2001,26.20842772
Italy,2002,26.28709016
Italy,2003,26.36282806
Italy,2004,26.43355829
Italy,2005,26.49692152
Italy,2006,26.55247751
Italy,2007,26.59870306
Italy,2008,26.63442679
Italy,2009,26.65907754
Italy,2010,26.67294813
Italy,2011,26.67785406
Italy,2012,26.67577112
Italy,2013,26.67018428
Italy,2014,26.66303918
Italy,2015,26.65554418
Italy,2016,26.64890335
