Entity,Year,Value of exports to labor-intensive countries (% of GDP) (OWID calculations based on CEPII (2016)),Value of exports to capital-intensive countries (% of GDP) (OWID calculations based on CEPII (2016)),Value of imports to labor-intensive countries (% of GDP) (OWID calculations based on CEPII (2016)),Value of imports to capital-intensive countries (% of GDP) (OWID calculations based on CEPII (2016))
Italy,1861,,4.66683,,6.54043
Italy,1862,,5.61276,,7.06478
Italy,1863,,5.78627,,7.89945
Italy,1864,,5.80236,,7.75352
Italy,1865,,5.03578,,8.1932
Italy,1866,,5.6408,,7.36467
Italy,1867,,6.8943,,7.0966
Italy,1868,,6.88842,,6.45861
Italy,1869,,7.01576,,7.2142
Italy,1870,,6.17114,,6.88646
Italy,1871,,8.97022,,7.42812
Italy,1872,,7.4849,,7.74733
Italy,1873,,6.33888,,7.41929
Italy,1874,,5.5254,,7.70863
Italy,1875,,6.90206,,8.41457
Italy,1876,,8.10737,,9.16865
Italy,1877,,5.88211,,7.10197
Italy,1878,,6.38656,,6.47231
Italy,1879,,7.03408,,7.29989
Italy,1880,,7.41018,,7.2406
Italy,1881,,8.21932,,9.42469
Italy,1882,,7.1985,,8.9191
Italy,1883,,8.43584,,9.43347
Italy,1884,,8.58726,,8.90287
Italy,1885,,6.45913,,9.72213
Italy,1886,0.06513,6.52496,0.09642,8.71591
Italy,1887,0.06455,7.46424,0.12217,10.65486
Italy,1888,0.07621,6.83346,0.13611,8.28314
Italy,1889,0.05586,7.14354,0.20289,8.82733
Italy,1890,0.06323,6.15297,0.17281,7.82739
Italy,1891,0.06313,5.60745,0.16658,6.54793
Italy,1892,0.06855,6.82605,0.17181,7.57827
Italy,1893,0.09208,6.76833,0.20441,7.56196
Italy,1894,0.10004,7.24319,0.19982,8.23549
Italy,1895,0.07634,7.29542,0.08474,7.58643
Italy,1896,0.08603,7.43986,0.0524,7.08673
Italy,1897,0.1068,7.68849,0.07531,7.77958
Italy,1898,0.11665,7.53467,0.06264,7.93945
Italy,1899,0.1323,8.63097,0.06389,8.96756
Italy,1900,0.14332,7.67329,0.08352,9.45541
Italy,1901,0.16507,7.16309,0.08546,8.91166
Italy,1902,0.16844,7.97197,0.08783,9.59914
Italy,1903,0.16848,7.45589,0.06855,9.72564
Italy,1904,0.22296,7.35131,0.11941,9.7745
Italy,1905,0.2055,7.62674,0.07467,10.96862
Italy,1906,0.20759,8.00558,0.10175,11.44095
Italy,1907,0.20937,8.11933,0.09795,12.32867
Italy,1908,0.18774,7.30639,0.15002,13.05993
Italy,1909,0.14563,7.59692,0.12287,12.40793
Italy,1910,0.17464,8.01887,0.19741,12.5682
Italy,1911,0.19737,6.8261,0.21074,11.99259
Italy,1912,0.20617,7.27335,0.11811,13.07943
Italy,1913,0.22986,7.5972,0.12906,12.32411
Italy,1914,0.22725,7.39236,0.1272,9.89437
Italy,1915,0.20613,8.34515,0.25004,17.38539
Italy,1916,0.26017,6.73499,0.1197,15.33533
Italy,1917,0.18332,6.10292,0.33257,27.94332
Italy,1918,0.1706,5.14833,0.61899,26.09145
Italy,1919,0.15307,5.98906,0.52531,22.52088
Italy,1920,0.4437,8.52625,0.23163,24.28418
Italy,1921,0.28823,6.3959,0.11774,14.24912
Italy,1922,0.28392,6.95574,0.24535,11.60967
Italy,1923,0.31154,7.12335,0.33553,11.71279
Italy,1924,0.47669,8.71405,0.34409,12.29752
Italy,1925,0.53416,10.09678,0.32901,13.68562
Italy,1926,0.37939,8.42171,0.21558,12.11038
Italy,1927,0.30789,7.73988,0.18068,10.6798
Italy,1928,0.35684,7.12081,0.23466,12.36184
Italy,1929,0.41495,7.37788,0.2517,12.0558
Italy,1930,0.31876,7.1123,0.17284,10.33347
Italy,1931,0.21737,6.63416,0.13053,7.55408
Italy,1932,0.14632,4.81397,0.11486,5.70723
Italy,1933,0.13712,4.53065,0.12911,5.52501
Italy,1934,0.12218,3.93211,0.15562,5.66509
Italy,1935,0.08643,3.24529,0.12241,5.01677
Italy,1936,0.08323,2.6486,0.07398,3.79543
Italy,1937,0.22302,4.5124,0.17313,7.42029
Italy,1938,0.17741,4.09767,0.11703,5.34983
Italy,1939,0.10337,3.55364,0.07639,4.41144
Italy,1940,0.06147,3.73928,0.05856,4.95589
Italy,1941,0.00347,4.66596,0.00061,4.21151
Italy,1942,0.001,3.50131,4e-05,3.72756
Italy,1946,,2.18941,,4.25819
Italy,1947,,2.39904,,5.4136
Italy,1948,0.03922,6.23356,0.05439,9.41915
Italy,1949,0.57176,6.20307,0.28365,8.85349
Italy,1950,0.35674,6.80273,0.31331,8.21664
Italy,1951,0.82247,7.94923,0.84724,10.13758
Italy,1952,0.68112,6.42281,0.81311,9.89002
Italy,1953,0.68302,5.79074,0.61787,9.40581
Italy,1954,0.65625,6.07349,0.51716,8.66645
Italy,1955,0.56549,6.46462,0.53738,8.73073
Italy,1956,0.5565,6.71436,0.5528,9.38237
Italy,1957,0.59518,7.58625,0.44866,10.60602
Italy,1958,0.58899,7.41464,0.43976,8.25324
Italy,1959,0.50212,8.11036,0.44344,7.93712
Italy,1960,0.52279,7.62114,0.47319,9.2559
Italy,1961,0.45849,7.74518,0.41456,9.36442
Italy,1962,0.44921,8.10879,0.42077,10.1409
Italy,1963,0.45832,7.61117,0.45676,11.00493
Italy,1964,0.40775,8.05455,0.35726,9.87826
Italy,1965,0.45398,9.30343,0.35055,9.15573
Italy,1966,0.42621,9.66642,0.3458,9.97881
Italy,1967,0.38411,9.50802,0.27745,10.17848
Italy,1968,0.39693,10.34051,0.26654,9.89357
Italy,1969,0.36222,10.76424,0.31292,11.00139
Italy,1970,0.31915,10.42501,0.27767,11.45272
Italy,1971,0.30746,10.96778,0.23553,11.24998
Italy,1972,0.26442,11.59748,0.295,11.77233
Italy,1973,0.26867,11.96288,0.30776,14.08361
Italy,1974,0.35942,13.62728,0.40924,18.01191
Italy,1975,0.45207,13.52171,0.37256,14.54891
Italy,1976,0.4197,14.89907,0.5414,16.67716
Italy,1977,0.58202,15.76479,0.51602,16.11618
Italy,1978,0.58981,16.16904,0.55653,15.42838
Italy,1979,0.52037,15.95255,0.68305,16.85902
Italy,1980,0.53058,14.64102,0.7188,17.49141
Italy,1981,0.63754,15.0386,0.81436,17.99242
Italy,1982,0.61817,14.88926,0.61544,17.35433
Italy,1983,0.62944,14.42425,0.65109,15.35699
Italy,1984,0.63135,14.99568,0.66052,16.28155
Italy,1985,0.48312,15.35621,0.7123,17.20688
Italy,1986,0.39385,13.83791,0.38206,13.97982
Italy,1987,0.36234,13.2265,0.37568,13.94645
Italy,1988,0.36602,13.30784,0.37097,14.05371
Italy,1989,0.35178,13.98792,0.41875,14.99935
Italy,1990,0.345,13.26689,0.39216,14.05948
Italy,1991,0.28811,12.83796,0.31673,13.46738
Italy,1992,0.32907,12.94685,0.3429,13.44348
Italy,1993,0.42514,13.85886,0.398,13.16665
Italy,1994,0.40212,15.43258,0.48837,14.32708
Italy,1995,0.49309,17.53494,0.52111,16.69222
Italy,1996,0.49756,16.45557,0.48348,14.96328
Italy,1997,0.52844,17.00412,0.48032,15.77089
Italy,1998,0.53768,16.9381,0.48129,16.03988
Italy,1999,0.52854,17.01907,0.48952,16.58081
Italy,2000,0.58579,18.84627,0.58493,19.27363
Italy,2001,0.49818,18.37561,0.6065,18.672
Italy,2002,0.49828,17.70519,0.57719,17.84765
Italy,2003,0.47711,16.97076,0.54959,17.71046
Italy,2004,0.48365,17.34305,0.64558,18.4017
Italy,2005,0.56602,17.88745,0.64815,19.30832
Italy,2006,0.66326,19.23091,0.80346,21.08702
Italy,2007,0.74841,20.25353,0.82734,21.44469
Italy,2008,0.89822,20.60557,0.85345,21.33576
Italy,2009,0.74969,16.95063,0.65028,17.5195
Italy,2010,0.88213,18.86554,0.83347,19.50981
Italy,2011,0.95728,20.56458,1.05158,20.66789
