Entity,Year,Income classification (World Bank 2017)
Italy,1987,4
Italy,1988,4
Italy,1989,4
Italy,1990,4
Italy,1991,4
Italy,1992,4
Italy,1993,4
Italy,1994,4
Italy,1995,4
Italy,1996,4
Italy,1997,4
Italy,1998,4
Italy,1999,4
Italy,2000,4
Italy,2001,4
Italy,2002,4
Italy,2003,4
Italy,2004,4
Italy,2005,4
Italy,2006,4
Italy,2007,4
Italy,2008,4
Italy,2009,4
Italy,2010,4
Italy,2011,4
Italy,2012,4
Italy,2013,4
Italy,2014,4
Italy,2015,4
Italy,2016,4
