Entity,Year,Gender wage gap (OECD 2017)
Italy,1986,17.2
Italy,1987,15.6
Italy,1989,11.1
Italy,1991,10.0
Italy,1993,11.5
Italy,1995,14.6
Italy,1998,7.7
Italy,2000,8.5
Italy,2002,10.3
Italy,2004,6.7
Italy,2006,7.7
Italy,2008,11.8
Italy,2010,9.9
Italy,2012,11.1
Italy,2014,5.6
