Entity,Year,Child Labor (% children recorded as working) (Cunningham and Viazzo (1996) and others)
Italy,1881,64.3
Italy,1901,49.9
Italy,1911,44.8
Italy,1921,31.5
Italy,1931,27.4
Italy,1936,32.1
Italy,1951,10.0
Italy,1961,3.6
