Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Annual net change in forest area,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of regional deforestation,Share of regional forest area,Forest cover
Italy,1990,14.88,,,,,7589.75,,,,,0.1791542546328279,,,0.7635563380281691,25.803188957639215
Italy,1991,,,,,,7667.7,,,,,0.1813297483187694,,,,26.068198816889915
Italy,1992,,,,,,7745.65,,,,,0.1835133222476737,,,,26.33320867614061
Italy,1993,,,,,,7823.6,,,,,0.185705021520892,,,,26.59821853539131
Italy,1994,,,,,,7901.55,,,,,0.1879048915760559,,,,26.863228394642007
Italy,1995,,,,,,7979.5,,,,,0.1901129781902186,,,,27.128238253892707
Italy,1996,,,,,,8057.45,,,,,0.1923293274830291,,,,27.3932481131434
Italy,1997,,,,,,8135.4,,,,,0.1945539859199438,,,,27.658257972394097
Italy,1998,,,,,,8213.35,,,,,0.1967870003154735,,,,27.923267831644797
Italy,1999,,,,,,8291.3,,,,,0.1990284178364672,,,,28.18827769089549
Italy,2000,8.15,,,,,8369.25,,,,,0.2012782860054332,,,0.8352544910179642,28.45328755014619
Italy,2001,,,,,,8435.129,,,,,0.2031153664273397,,,,28.67725912830625
Italy,2002,,,,,,8501.008,,,,,0.2049570299829864,,,,28.901230706466308
Italy,2003,,,,,,8566.886999999999,,,,,0.2068032933570398,,,,29.12520228462637
Italy,2004,,,,,,8632.766,,,,,0.2086541738041054,,,,29.349173862786422
Italy,2005,,,,,,8698.645,,,,,0.2105096881557566,,,,29.57314544094649
Italy,2006,,,,,,8764.524,,,,,0.2123698548536886,,,,29.797117019106544
Italy,2007,,,,,,8830.403,,,,,0.2142346909090404,,,,30.02108859726661
Italy,2008,,,,,,8896.282,,,,,0.2161042134003631,,,,30.245060175426666
Italy,2009,,,,,,8962.161,,,,,0.2179784410644372,,,,30.469031753586727
Italy,2010,6.84,0.5960319183344336,3.69,0.0408726589603058,0.6369045772947395,9028.04,57.5,50.65,53.81,0.0312685365646979,0.2198573911627632,0.8214285714285714,1.8358208955223885,0.8903392504930968,30.693003331746787
Italy,2011,,,,,,9081.848,,,,,0.2214096607927478,,,,30.87593662881621
Italy,2012,,,,,,9135.656,,,,,0.2229655250297793,,,,31.05886992588563
Italy,2013,,,,,,9189.464,,,,,0.2245248034068072,,,,31.241803222955056
Italy,2014,,,,,,9243.272,,,,,0.2260875060776503,,,,31.42473652002448
Italy,2015,,,,,,9297.08,,,,,0.227653644882489,,,0.9141671583087512,31.607669817093903
Italy,2016,,,,,,9350.89,,,,,0.2292512356703604,,,,31.790609913646563
Italy,2017,,,,,,9404.7,,,,,0.2308527374930583,,,,31.973550010199222
Italy,2018,,,,,,9458.51,,,,,0.2324581652915427,,,,32.15649010675189
Italy,2019,,,,,,9512.32,,,,,0.2340675340959002,,,,32.339430203304545
Italy,2020,,,,,,9566.13,,,,,0.2356808572840462,,,,32.52237029985721
