Entity,Year,"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))"
Italy,1870,0.77
Italy,1875,0.85
Italy,1880,0.93
Italy,1885,1.02
Italy,1890,1.15
Italy,1895,1.29
Italy,1900,1.47
Italy,1905,1.68
Italy,1910,1.89
Italy,1915,2.17
Italy,1920,2.44
Italy,1925,2.76
Italy,1930,3.06
Italy,1935,3.38
Italy,1940,3.61
Italy,1945,3.94
Italy,1950,4.04
Italy,1955,4.33
Italy,1960,4.61
Italy,1965,4.88
Italy,1970,5.17
Italy,1975,5.68
Italy,1980,6.19
Italy,1985,6.69
Italy,1990,7.29
Italy,1991,7.4
Italy,1992,7.5
Italy,1993,7.7
Italy,1994,7.8
Italy,1995,7.9
Italy,1996,8.1
Italy,1997,8.2
Italy,1998,8.3
Italy,1999,8.4
Italy,2000,8.6
Italy,2001,8.7
Italy,2002,8.8
Italy,2003,8.9
Italy,2004,9.1
Italy,2005,9.2
Italy,2006,9.3
Italy,2007,9.4
Italy,2008,9.5
Italy,2009,9.6
Italy,2010,9.7
Italy,2011,9.8
Italy,2012,9.9
Italy,2013,10.3
Italy,2014,10.1
Italy,2015,10.2
Italy,2016,10.2
Italy,2017,10.2
