Entity,Year,Under 5 mortality rate (IHME (2017))
Italy,1980,15.68
Italy,1985,11.85
Italy,1990,9.52
Italy,1995,7.24
Italy,2000,5.48
Italy,2005,4.38
Italy,2010,3.92
Italy,2015,3.13
