Entity,Year,Life Expectancy at Birth (both genders) (Clio Infra)
Italy,1872,29.7
Italy,1873,31.61
Italy,1874,31.76
Italy,1875,31.33
Italy,1876,33.62
Italy,1877,34.91
Italy,1878,34.34
Italy,1879,33.96
Italy,1880,32.76
Italy,1881,34.21
Italy,1882,34.29
Italy,1883,35.18
Italy,1884,36.63
Italy,1885,36.87
Italy,1886,35.14
Italy,1887,36.0
Italy,1888,36.96
Italy,1889,39.08
Italy,1890,38.53
Italy,1891,38.5
Italy,1892,38.88
Italy,1893,39.83
Italy,1894,39.95
Italy,1895,39.64
Italy,1896,40.72
Italy,1897,43.31
Italy,1898,42.34
Italy,1899,43.68
Italy,1900,41.67
Italy,1901,43.54
Italy,1902,42.99
Italy,1903,43.11
Italy,1904,44.39
Italy,1905,43.9
Italy,1906,45.05
Italy,1907,45.41
Italy,1908,43.14
Italy,1909,44.64
Italy,1910,46.71
Italy,1911,44.73
Italy,1912,48.93
Italy,1913,48.41
Italy,1914,49.85
Italy,1915,42.49
Italy,1916,39.56
Italy,1917,38.14
Italy,1918,25.81
Italy,1919,42.33
Italy,1920,45.47
Italy,1921,49.19
Italy,1922,49.95
Italy,1923,51.41
Italy,1924,51.47
Italy,1925,51.27
Italy,1926,50.92
Italy,1927,52.54
Italy,1928,52.64
Italy,1929,52.25
Italy,1930,55.16
Italy,1931,54.75
Italy,1932,54.74
Italy,1933,56.26
Italy,1934,56.83
Italy,1935,56.2
Italy,1936,56.72
Italy,1937,55.45
Italy,1938,56.09
Italy,1939,57.6
Italy,1940,56.95
Italy,1941,54.65
Italy,1942,52.52
Italy,1943,49.4
Italy,1944,52.44
Italy,1945,54.87
Italy,1946,58.96
Italy,1947,61.16
Italy,1948,63.44
Italy,1949,64.11
Italy,1950,65.76
Italy,1951,65.3
Italy,1952,65.93
Italy,1953,66.57
Italy,1954,67.89
Italy,1955,68.24
Italy,1956,67.63
Italy,1957,67.8
Italy,1958,68.86
Italy,1959,69.31
Italy,1960,69.19
Italy,1961,69.83
Italy,1962,69.22
Italy,1963,69.32
Italy,1964,70.38
Italy,1965,70.25
Italy,1966,70.99
Italy,1967,71.04
Italy,1968,70.85
Italy,1969,70.87
Italy,1970,71.63
Italy,1971,71.88
Italy,1972,72.15
Italy,1973,72.1
Italy,1974,72.81
Italy,1975,72.72
Italy,1976,73.07
Italy,1977,73.44
Italy,1978,73.78
Italy,1979,74.11
Italy,1980,74.06
Italy,1981,74.45
Italy,1982,74.92
Italy,1983,74.73
Italy,1984,75.5
Italy,1985,75.61
Italy,1986,75.92
Italy,1987,76.35
Italy,1988,76.52
Italy,1989,76.92
Italy,1990,76.98
Italy,1991,76.98
Italy,1992,77.35
Italy,1993,77.62
Italy,1994,77.85
Italy,1995,78.1
Italy,1996,78.42
Italy,1997,78.72
Italy,1998,78.81
Italy,1999,79.21
Italy,2000,79.62
Italy,2001,79.9
Italy,2002,80.13
Italy,2003,80.22
Italy,2004,81.06
Italy,2005,81.05
Italy,2006,81.46
Italy,2007,81.56
Italy,2008,81.58
Italy,2009,81.83
Italy,2010,82.4
Italy,2011,82.7
