Entity,Year,CO2 traded as percentage of domestic emissions production (Global Carbon Project (2014))
Italy,1990,30.08073886
Italy,1991,28.5270227
Italy,1992,40.66842763
Italy,1993,30.62066377
Italy,1994,28.15170192
Italy,1995,25.41117931
Italy,1996,19.61029829
Italy,1997,19.67880701
Italy,1998,19.31087805
Italy,1999,20.36128484
Italy,2000,24.05898968
Italy,2001,21.00896277
Italy,2002,23.10706533
Italy,2003,19.89390605
Italy,2004,24.54572347
Italy,2005,24.85738165
Italy,2006,31.3765422
Italy,2007,31.9821933
Italy,2008,34.59473615
Italy,2009,32.70682971
Italy,2010,37.04974271
Italy,2011,40.54031868
Italy,2012,34.271074
Italy,2013,34.43954465
Italy,2014,37.92076957
