Entity,Year,Building (CAIT),Int'l aviation & shipping (CAIT),Electricity & Heat (CAIT),Energy (CAIT),Fugitive Emissions (CAIT),Industry (CAIT),Land-Use Change and Forestry (CAIT),Manufacturing & Construction (CAIT),Other Fuel Combustion (CAIT),Total excluding LUCF (CAIT),Total including LUCF (CAIT),Transport (CAIT),Buildings (per capita) (CAIT),Electricity & Heat (per capita) (CAIT),Fugitive Emissions (per capita) (CAIT),Industry (per capita) (CAIT),International aviation & shipping (per capita) (CAIT),Land-Use Change and Forestry (per capita) (CAIT),Manufacturing & Construction (per capita) (CAIT),Total excluding LUCF (per capita) (CAIT),Total including LUCF (per capita) (CAIT),Transport (per capita) (CAIT)
Italy,2000,69.2,13.8,152.9,420.5,0.0,,-34.4,73.4,8.6,420.4,386.0,116.4,1.2206307768291822,2.6970295632540746,0.0,,0.2434205884428138,-0.6067875537994779,1.2947153037465604,7.415508360968038,6.80872080716856,2.053199745995908
Italy,2001,72.9,13.4,149.2,420.1,0.0,,-35.05,70.9,8.6,420.2,385.15,118.5,1.2817582417582418,2.6232967032967034,0.0,,0.2356043956043956,-0.6162637362637362,1.2465934065934068,7.388131868131868,6.771868131868132,2.083516483516484
Italy,2002,69.0,13.9,158.9,427.1,0.0,,-35.03,70.0,8.5,427.2,392.17,120.7,1.206652326740465,2.7787978944791285,0.0,,0.2430792368361226,-0.6125946522567897,1.2241400416207613,7.470751796862704,6.858157144605914,2.1107671860517985
Italy,2003,73.7,15.4,164.6,445.4,0.0,,-34.89,76.5,8.8,445.3,410.41,121.8,1.2802918440024322,2.85937635716147,0.0,,0.2675236688960306,-0.6060974550508121,1.3289325110744377,7.735603231130026,7.129505776079215,2.115869017632241
Italy,2004,75.6,15.7,178.3,455.0,0.0,,-35.13,68.3,8.8,455.0,419.87,124.0,1.3046179333195278,3.0768965279215847,0.0,,0.2709325602264099,-0.6062331745703045,1.178642921239732,7.851867191274937,7.245634016704631,2.139849520259543
Italy,2005,80.3,16.2,177.8,456.6,0.0,,-35.14,66.5,9.0,456.4,421.26,123.0,1.3778075187453886,3.0507369468608982,0.0,,0.2779636588253462,-0.6029409241433744,1.141023661227501,7.831025548635061,7.228084624491687,2.1104648170072577
Italy,2006,74.7,17.1,179.7,449.3,0.0,,-34.18,61.8,8.8,449.2,415.02,124.3,1.275985173291427,3.0695386297251592,0.0,,0.2920929914763507,-0.5838443537229044,1.0556343200724254,7.672992501238407,7.089148147515501,2.123225663187742
Italy,2007,68.4,18.0,179.6,441.4,0.0,,-34.4,60.5,8.2,441.5,407.1,124.7,1.164294954721863,3.057125348948049,0.0,,0.3063934091373323,-0.5855518485735685,1.0298222918227005,7.515149451896235,6.929597603322667,2.1226254510791858
Italy,2008,72.5,18.0,173.5,428.9,0.0,,-34.36,57.0,8.0,428.9,394.54,117.9,1.2304402430331625,2.944570788500051,0.0,,0.3054886120634059,-0.5831438172499236,0.967380604867452,7.279114761888597,6.695970944638675,2.0009504090153083
Italy,2009,73.2,16.6,147.4,383.7,0.0,,-34.29,43.2,8.1,383.7,349.41,111.8,1.238452948939194,2.493824654011437,0.0,,0.280851351808615,-0.5801441478022537,0.7308902649477211,6.491726728250939,5.911582580448687,1.891516935674889
Italy,2010,76.1,19.1,153.1,392.0,0.0,,-34.4,45.8,7.8,392.0,357.6,109.2,1.282764433206911,2.5806995364517484,0.0,,0.3219553308048883,-0.5798567214496418,0.7720185419300463,6.607669616519174,6.027812895069533,1.84070796460177
Italy,2011,70.4,17.8,152.1,384.2,0.0,,-34.33,45.0,7.5,384.1,349.77,109.2,1.181426102132944,2.5524845189548406,0.0,,0.2987128496870228,-0.5761130409974995,0.7551729346020238,6.4458205373474975,5.8697074963499976,1.832552987967578
Italy,2012,69.5,17.3,144.0,366.6,0.0,,-34.4,43.3,7.3,366.7,332.3,102.5,1.1606740259523372,2.404849780390454,0.0,,0.2889159805607976,-0.574491891982164,0.7231249686868517,6.12401676714708,5.549524875164916,1.7117854339584828
Italy,2013,69.0,16.0,122.6,337.5,0.0,,-34.4,38.1,7.1,337.6,303.2,100.7,1.1468080509249257,2.037661841208636,0.0,,0.2659265045623016,-0.5717419848089484,0.6332374889889807,5.611049246264564,5.039307261455615,1.6736749380889857
Italy,2014,57.7,15.4,113.7,319.1,0.0,,-34.35,35.2,7.1,319.2,284.85,105.4,0.9551398775037246,1.882138718755173,0.0,,0.2549246813441483,-0.5686144678033438,0.5826849859294818,5.283893395133256,4.715278927329912,1.744744247641119
Italy,2015,63.6,15.6,120.9,329.8,0.0,,-34.4,34.9,7.4,329.7,295.3,103.0,1.0498860972630326,1.9957740433820856,0.0,,0.2575192314041401,-0.5678629205322064,0.5761167420515698,5.442569909868269,4.874706989336063,1.700287232988874
Italy,2016,63.6,17.0,118.1,325.5,0.0,,-34.25,34.7,7.4,325.7,291.45,101.7,1.0484150140942583,1.946820961706477,0.0,,0.2802367176038112,-0.5645945634076784,0.5720125941677794,5.369005819033018,4.80441125562534,1.6764749517828
