Entity,Year,Building (CAIT),Int'l aviation & shipping (CAIT),Electricity & Heat (CAIT),Energy (CAIT),Fugitive Emissions (CAIT),Industry (CAIT),Land-Use Change and Forestry (CAIT),Manufacturing & Construction (CAIT),Other Fuel Combustion (CAIT),Total excluding LUCF (CAIT),Total including LUCF (CAIT),Transport (CAIT),Buildings (per capita) (CAIT),Electricity & Heat (per capita) (CAIT),Fugitive Emissions (per capita) (CAIT),Industry (per capita) (CAIT),International aviation & shipping (per capita) (CAIT),Land-Use Change and Forestry (per capita) (CAIT),Manufacturing & Construction (per capita) (CAIT),Total excluding LUCF (per capita) (CAIT),Total including LUCF (per capita) (CAIT),Transport (per capita) (CAIT)
Italy,1990,67.0,13.0,143.5,389.4,0.0,,-34.34,74.0,8.8,389.4,355.06,96.1,1.17444958631328,2.515425606506801,0.0,,0.2278782779413827,-0.6019492357313141,1.297153274435563,6.825830879259571,6.223881643528257,1.6845463469359134
Italy,1991,73.1,13.3,139.0,388.3,0.0,,-34.34,69.9,8.4,388.4,354.06,97.9,1.280479260089686,2.434837443946188,0.0,,0.2329736547085202,-0.601527466367713,1.2244254484304933,6.803531390134529,6.202003923766816,1.7148963004484308
Italy,1992,68.2,13.0,138.4,386.1,0.0,,-34.34,67.8,8.7,385.8,351.46,103.0,1.1934552454282965,2.42190917840581,0.0,,0.2274914690699098,-0.6009274652200544,1.186455507918453,6.751246828243941,6.150319363023886,1.8024324087846704
Italy,1993,67.8,13.2,134.8,382.9,0.0,,-34.34,65.8,9.6,382.9,348.56,104.9,1.1853561313332632,2.3567257596419457,0.0,,0.2307772999055911,-0.6003706423301515,1.15038987377181,6.694290010140214,6.093919367810063,1.83398020909822
Italy,1994,59.2,13.0,137.4,378.3,0.0,,-34.34,67.5,9.6,378.5,344.16,104.6,1.0347117838291326,2.401510119900724,0.0,,0.2272171146922082,-0.600202747579264,1.1797811724403118,6.6155136854616,6.0153109378823375,1.8282238612926904
Italy,1995,65.8,13.7,150.0,401.1,0.0,,-34.34,68.5,9.9,401.1,366.76,106.9,1.1508727743379858,2.6235701542659253,0.0,,0.2396194074229544,-0.6006226606499458,1.1980970371147726,7.015426592507084,6.414803931857138,1.8697309966068492
Italy,1996,67.5,12.4,145.4,398.2,0.0,,-34.4,66.9,9.7,398.2,363.8,108.7,1.182861648996758,2.547971611320424,0.0,,0.2172960658897748,-0.6028213440813107,1.172347323227898,6.9780075352668005,6.375186191185491,1.9048453517918165
Italy,1997,65.0,13.0,147.6,401.3,0.0,,-34.4,69.0,9.4,401.3,366.9,110.3,1.1422747082806128,2.5938422606495157,0.0,,0.2284549416561226,-0.6045269225362013,1.212568536482497,7.052228314353999,6.447701391817798,1.938352312666948
Italy,1998,68.7,14.2,151.6,411.9,0.0,,-34.4,68.7,9.5,411.8,377.4,113.4,1.210722027386638,2.671695187071533,0.0,,0.2502511322982571,-0.6062421796521157,1.210722027386638,7.257282836649455,6.651040656997338,1.99848439455087
Italy,1999,72.9,12.4,147.4,417.6,0.0,,-34.4,71.9,9.1,417.7,383.3,116.3,1.286712792996329,2.601666195989833,0.0,,0.2188647274781135,-0.6071731149392826,1.269062411748094,7.372564247387744,6.765391132448461,2.052739339169726
