Entity,Year,"Total merchandise trade as share of GDP - Fouquin and Hugot (CEPII 2016, Dyadic data)"
Italy,1861,4.66683
Italy,1862,5.61276
Italy,1863,5.78627
Italy,1864,5.80236
Italy,1865,5.03578
Italy,1866,5.6408
Italy,1867,6.8943
Italy,1868,6.88842
Italy,1869,7.01576
Italy,1870,6.17114
Italy,1871,8.97022
Italy,1872,7.4849
Italy,1873,6.33888
Italy,1874,5.5254
Italy,1875,6.90206
Italy,1876,8.10737
Italy,1877,5.88211
Italy,1878,6.38656
Italy,1879,7.03408
Italy,1880,7.41018
Italy,1881,8.21932
Italy,1882,7.1985
Italy,1883,8.43584
Italy,1884,8.58726
Italy,1885,6.45913
Italy,1886,6.5901
Italy,1887,7.52879
Italy,1888,6.90968
Italy,1889,7.1994
Italy,1890,6.21619
Italy,1891,5.67058
Italy,1892,6.89461
Italy,1893,6.86041
Italy,1894,7.34323
Italy,1895,7.37176
Italy,1896,7.5259
Italy,1897,7.79529
Italy,1898,7.65132
Italy,1899,8.76327
Italy,1900,7.8166
Italy,1901,7.32816
Italy,1902,8.14041
Italy,1903,7.62437
Italy,1904,7.57426
Italy,1905,7.83224
Italy,1906,8.21317
Italy,1907,8.3287
Italy,1908,7.49413
Italy,1909,7.74255
Italy,1910,8.19351
Italy,1911,7.02347
Italy,1912,7.47953
Italy,1913,7.82706
Italy,1914,7.6196
Italy,1915,8.55128
Italy,1916,6.99516
Italy,1917,6.28624
Italy,1918,5.31893
Italy,1919,6.14213
Italy,1920,8.96996
Italy,1921,6.76559
Italy,1922,7.31832
Italy,1923,7.51616
Italy,1924,9.27843
Italy,1925,10.75884
Italy,1926,8.91064
Italy,1927,8.1485
Italy,1928,7.58695
Italy,1929,7.89221
Italy,1930,7.50609
Italy,1931,6.90162
Italy,1932,4.98917
Italy,1933,4.68735
Italy,1934,4.06874
Italy,1935,3.34296
Italy,1936,2.73632
Italy,1937,4.76953
Italy,1938,4.30961
Italy,1939,3.68949
Italy,1940,3.80074
Italy,1941,4.66943
Italy,1942,3.50231
Italy,1946,2.18941
Italy,1947,2.39904
Italy,1948,6.27355
Italy,1949,6.98263
Italy,1950,7.36669
Italy,1951,9.11281
Italy,1952,7.41915
Italy,1953,6.71765
Italy,1954,6.97276
Italy,1955,7.28094
Italy,1956,7.58386
Italy,1957,8.49531
Italy,1958,8.32002
Italy,1959,8.82403
Italy,1960,8.39226
Italy,1961,8.50452
Italy,1962,8.84364
Italy,1963,8.33476
Italy,1964,8.73122
Italy,1965,10.063
Italy,1966,10.41666
Italy,1967,10.24621
Italy,1968,11.10163
Italy,1969,11.47582
Italy,1970,11.05674
Italy,1971,11.58669
Italy,1972,12.19562
Italy,1973,12.55006
Italy,1974,14.41593
Italy,1975,14.57279
Italy,1976,15.96902
Italy,1977,17.0398
Italy,1978,17.40941
Italy,1979,17.1228
Italy,1980,15.78162
Italy,1981,16.54775
Italy,1982,16.28774
Italy,1983,15.85724
Italy,1984,16.01265
Italy,1985,16.27659
Italy,1986,14.50536
Italy,1987,13.76554
Italy,1988,13.82974
Italy,1989,14.5314
Italy,1990,13.77743
Italy,1991,13.2836
Italy,1992,13.4829
Italy,1993,14.58844
Italy,1994,16.12281
Italy,1995,18.36438
Italy,1996,17.31737
Italy,1997,17.90957
Italy,1998,17.93996
Italy,1999,17.8741
Italy,2000,19.87024
Italy,2001,19.34467
Italy,2002,18.71903
Italy,2003,17.97021
Italy,2004,18.38728
Italy,2005,19.03675
Italy,2006,20.51726
Italy,2007,21.73283
Italy,2008,22.15498
Italy,2009,18.31917
Italy,2010,20.36151
Italy,2011,22.2211
Italy,2012,23.70515
Italy,2013,23.7284
Italy,2014,24.0835
