Entity,Year,Under five mortality rate (UN World Population Prospects (2015))
Italy,1955,7.54
Italy,1960,5.81
Italy,1965,4.78
Italy,1970,3.78
Italy,1975,3.0
Italy,1980,2.01
Italy,1985,1.47
Italy,1990,1.1
Italy,1995,0.89
Italy,2000,0.67
Italy,2005,0.5
Italy,2010,0.41
Italy,2015,0.27
