Entity,Year,Cereal yield index (World Bank (2017) & OWID)
Italy,1961,100
Italy,1962,102
Italy,1963,97
Italy,1964,103
Italy,1965,110
Italy,1966,110
Italy,1967,121
Italy,1968,116
Italy,1969,123
Italy,1970,126
Italy,1971,136
Italy,1972,134
Italy,1973,137
Italy,1974,145
Italy,1975,151
Italy,1976,147
Italy,1977,147
Italy,1978,158
Italy,1979,157
Italy,1980,161
Italy,1981,169
Italy,1982,164
Italy,1983,162
Italy,1984,180
Italy,1985,171
Italy,1986,177
Italy,1987,180
Italy,1988,175
Italy,1989,170
Italy,1990,181
Italy,1991,200
Italy,1992,216
Italy,1993,222
Italy,1994,214
Italy,1995,214
Italy,1996,227
Italy,1997,218
Italy,1998,233
Italy,1999,231
Italy,2000,229
Italy,2001,221
Italy,2002,227
Italy,2003,197
Italy,2004,250
Italy,2005,246
Italy,2006,244
Italy,2007,237
Italy,2008,245
Italy,2009,233
Italy,2010,244
Italy,2011,260
Italy,2012,244
Italy,2013,241
Italy,2014,262
