Entity,Year,fish_catch_direct_consumption,fishmeal_and_fish_oil,fish_other_uses,total_fish_catch,bottom_trawl,gillnet,longline,other_gear,pelagic trawl,purse_seine,small_scale,unknown_gear,Artisanal,industrial,recreational,subsistence,discards,landings,reported_landings,unreported_landings
Italy,1950,702287.91486762,,630.7652092459998,,189893.55732283,,7973.641867839,38459.58986655,156674.37217003002,172757.70893509,111951.99032655198,25207.819587975,109611.3046561,569567.8815807659,19169.93887,4569.55497,45030.18178592,657888.4982909461,175120.92905202202,482767.5692389241
Italy,1951,706354.4974823201,,635.004256498,,188506.64111243,,7983.850727833002,38378.616473194,155528.23937097,176747.25893997002,113947.01283298302,25897.882281438,111353.917205556,571766.375793262,19297.32064,4571.8881,44669.20985594,662320.2918828778,173538.636202703,488781.6556801748
Italy,1952,883211.7832391133,,802.262184615,,218636.12078536,,9975.629798197,40220.416243952,221683.47742837,234957.17715388,130017.350497032,28523.873516937,127555.998931693,732594.4340020351,19297.32064,4566.29185,54809.05585800302,829204.9895657252,204669.695491854,624535.294073871
Italy,1953,783747.8697243878,,706.290522242,,214341.72092275,,9040.159182027,40781.078356593,169216.01129724,188807.82751011,131335.35352032,30932.00945759,128995.094882648,631373.099163982,19517.08472,4568.88148,50270.115216318,734184.0450303119,194674.98821106704,539509.056819245
Italy,1954,768353.8174575857,,692.069587306,,211972.87192162,,8747.379485516,40213.858399995006,163806.72969156,185445.41554373,129471.355659513,29388.276342958,126779.874789077,617825.642105815,19656.26863,4784.10152,48888.986312656,720156.900732236,204897.948023619,515258.9527086171
Italy,1955,761554.5371876381,,685.711245165,,211331.81096645,,8382.633112727,39889.865681056006,161672.76343741003,187653.90208623,126057.800098687,27251.473050243,123259.41140730298,614205.9811455001,19792.19678,4982.6591,48304.842489518,713935.4059432853,207025.884063419,506909.5218798659
Italy,1956,792682.7459109611,,714.11937122,,212821.26690919,,8802.185935481,40134.406640545,178021.75296266,200201.36446843,125743.125113341,27672.763252534,122914.15623916098,645490.7932630201,19908.99732,5082.91846,51105.695545481,742291.1697367,206753.97043024097,535537.199306459
Italy,1957,693510.579524006,,616.2653042139999,,205922.89013332,,7603.195571133,39628.596551188,134185.11021591,156961.59356449003,121222.508696939,28602.95009524,118244.62382001402,550789.4080382058,20015.21662,5077.59635,46857.493885966,647269.3509422541,194311.58446230204,452957.7664799521
Italy,1958,673205.606812635,,590.1332713709999,,209748.53662614,,6954.689609659001,38855.362534725,127751.9901534,149417.93758006,115834.990467522,25232.2331125,112231.268809644,536282.1708343619,20134.86595,5147.43449,52189.524831915005,621606.215252091,194526.75862566,427079.45662643097
Italy,1959,656458.69326386,,579.286101935,,205536.0170594,,7617.262676517,39011.467868816,123370.65283377,142649.07226375,114850.14517288702,24003.361490655003,112032.85313715802,519737.139347637,20279.74745,4988.239431,47847.702600060016,609190.276765735,196485.751168967,412704.525596768
Italy,1960,631700.8423647159,,551.6329442250001,,209325.73657109,,7117.488809639,38639.03493672,109232.81658959,134965.70829496998,110214.664738337,22757.025368595005,107039.100116073,499539.5583818679,20429.10563,5244.711181000001,49215.16349692,583037.3118120208,201528.711900491,381508.5999115301
Italy,1961,701332.0713546298,,606.989125471,,235917.02193913,,8068.32256636,39769.155995672,119946.85945946,151567.29910014998,119590.44538198,27079.956037349,116256.529133482,559693.854606619,20561.37105,5427.30569,61234.97200372999,640704.088476371,228343.738608086,412360.34986828506
Italy,1962,594313.336132314,,517.2320859710001,,212058.33497594,,6761.158817685001,38241.550434013,79545.72448799999,120202.10655334998,114077.236474339,23944.456474958,110335.43748858398,458332.389679701,20691.60161,5471.13944,46272.85295074402,548557.715267541,207490.24818947105,341067.4670780701
Italy,1963,650767.92090609,,570.564414606,,224779.84223402,,7311.406254707,39231.797539628,95698.12230062,140051.60648346,118373.045614731,25892.664893530004,114688.752169002,510337.0936406941,20836.07614,5476.563371,48034.64886985001,603303.836450846,216186.86662323505,387116.969827611
Italy,1964,847536.5678172302,,764.609085138,,367140.7452417,,7605.002041070999,41528.015224618,124933.98470474,130342.39620666,128947.470318684,47803.56316489499,125437.2561963,696343.5696260681,20999.67828,5520.6728,51810.89315393,796490.2837484382,299787.080226535,496703.2035219031
Italy,1965,1053191.77867918,,967.320399723,,503392.0783495,,8087.799949213,42209.98308212,155614.840911,145410.59202788997,136355.26698528,63088.5377739,132993.35895557603,894460.6350733271,21157.17587,5547.92918,55215.150646580005,998943.9484323232,328609.91721260303,670334.03121972
Italy,1966,1251729.4269318497,,1163.827733167,,644114.9134844,,8376.675669260001,42591.62673214899,183468.47774767003,163770.76189658002,141203.404930848,69367.39420411001,137467.40341326102,1088321.4910597557,21297.5807,5806.779492000001,56730.16289457001,1196163.091770447,346713.73851422395,849449.353256223
Italy,1967,1471458.88051979,,1373.3084748479998,,807862.9584097001,,10015.801709734,45852.568311892,230206.93932263,158446.56487459998,153473.66783199197,66973.68853409,149545.409620952,1295777.5401826862,21433.91582,6075.323371,64687.53406643,1408144.6549282074,340911.51255199406,1067233.142376214
Italy,1968,1627462.9231294803,,1527.3525654070002,,939361.0541017,,9938.422697081998,45305.907273153,262768.3076941,150402.09360247,149698.435801062,71516.05452532001,145805.74020145598,1455470.9137124314,21564.14638,6149.475401,65853.15947402001,1563137.1162208673,333767.372998604,1229369.743222263
Italy,1969,1453725.6461158304,,1350.1202942859998,,811505.8528783,,10326.860176531,43229.485237691006,234628.94897132,152340.86195795,140195.230199454,62848.52698887,135568.384724207,1291356.114815909,21698.44665,6452.8202200000005,67688.93737003002,1387386.829040086,337512.13088075,1049874.6981593363
Italy,1970,1537870.9390739405,,1423.417783575,,805731.1384451,,10085.721521329,50314.057704807,295932.25085694995,188087.18788356,129239.146439656,59904.854006113,124635.679399689,1386189.1539978262,21838.4445,6631.07896,79488.13008606,1459806.226771455,376202.877193508,1083603.3495779468
Italy,1971,1507433.4708006,,1389.6456863379997,,796339.2088135,,11344.632789329,50679.968617868006,296322.84960027,171958.75677164,129404.896549471,52772.80334486,124650.72862849702,1355399.246728441,22006.52332,6766.61781,80333.988415,1428489.128071938,375035.53898963,1053453.589082308
Italy,1972,1577714.0220351198,,1449.406224956,,810951.6728834999,,13543.648685815,51761.49828500501,325858.79059945,183693.85316329,138284.43405932898,55069.530583687,133270.054007069,1416885.1884420065,22131.46327,6876.722541,88538.50611365998,1490624.922146415,394088.418671284,1096536.5034751317
Italy,1973,1640262.00932759,,1505.8731480579995,,822309.8763606,,12376.313964377,53445.1670076,360251.45621441,213360.58610811,137084.531623655,42939.95119689601,131682.56179541102,1480691.9006692371,22282.04236,7111.377651000001,96587.56421242,1545180.318263228,381937.0596070711,1163243.2586561572
Italy,1974,1691543.8003319504,,1544.3478338469995,,809241.7840639,,13163.302753539,55648.508000307,404467.1157048,232016.24088601,135812.21901726298,42738.977739978,129845.675094775,1533074.984870022,22428.55174,7738.936461,104373.65260256996,1588714.4955632268,418839.028814136,1169875.466749091
Italy,1975,1868417.78342576,,1703.2341858969996,,907578.7819035,,15059.833729968,65400.638028585,417220.1309019,249346.7981423,181329.700954894,34185.133950510004,176278.67556753402,1663380.8056431224,22562.85201,7898.684391,121661.49774074,1748459.5198709168,389978.570735689,1358480.949135228
