Entity,Year,Guinea worm certification status (WHO 2018)
Italy,1996,Not known to have dracunculiasis but yet to be certified
Italy,1997,Not known to have dracunculiasis but yet to be certified
Italy,1998,Not known to have dracunculiasis but yet to be certified
Italy,1999,Certified free of dracunculiasis
Italy,2000,Certified free of dracunculiasis
Italy,2001,Certified free of dracunculiasis
Italy,2002,Certified free of dracunculiasis
Italy,2003,Certified free of dracunculiasis
Italy,2004,Certified free of dracunculiasis
Italy,2005,Certified free of dracunculiasis
Italy,2006,Certified free of dracunculiasis
Italy,2007,Certified free of dracunculiasis
Italy,2008,Certified free of dracunculiasis
Italy,2009,Certified free of dracunculiasis
Italy,2010,Certified free of dracunculiasis
Italy,2011,Certified free of dracunculiasis
Italy,2012,Certified free of dracunculiasis
Italy,2013,Certified free of dracunculiasis
Italy,2014,Certified free of dracunculiasis
Italy,2015,Certified free of dracunculiasis
Italy,2016,Certified free of dracunculiasis
Italy,2017,Certified free of dracunculiasis
