Entity,Year,Educational Attainment (average years of total education) (Barro Lee Education Dataset (2010))
Italy,1950,4.21
Italy,1955,4.54
Italy,1960,4.86
Italy,1965,5.23
Italy,1970,5.63
Italy,1975,6.16
Italy,1980,6.71
Italy,1985,7.18
Italy,1990,7.7
Italy,1995,8.27
Italy,2000,8.78
Italy,2005,9.15
Italy,2010,9.63
