Entity,Year,Stomach,Colon,Rectum,Liver,Lung,Breast,Cervix,Ovary,Prostate,Leukaemia
Italy,1999,31.1,57.5,53.3,11.5,12.9,82.8,64.4,36.1,79.1,47.0
Italy,2004,32.0,60.1,56.7,15.5,14.0,85.5,67.1,37.9,88.6,47.3
Italy,2009,32.4,63.2,59.5,17.9,14.7,86.2,68.3,39.2,89.7,46.7
