Entity,Year,Hypothetical global meat consumption (OWID based on FAO & UN)
Italy,1961,95297824
Italy,1962,106726046
Italy,1963,118676167
Italy,1964,128307974
Italy,1965,136456015
Italy,1966,152497315
Italy,1967,165600209
Italy,1968,173842502
Italy,1969,182454347
Italy,1970,200709197
Italy,1971,213880976
Italy,1972,222235365
Italy,1973,244796046
Italy,1974,248985461
Italy,1975,253125182
Italy,1976,266561330
Italy,1977,279199007
Italy,1978,298106989
Italy,1979,314536613
Italy,1980,335134382
Italy,1981,340308019
Italy,1982,345956158
Italy,1983,368106407
Italy,1984,375753007
Italy,1985,380180784
Italy,1986,390806308
Italy,1987,412681868
Italy,1988,424947576
Italy,1989,438383381
Italy,1990,452069178
Italy,1991,464308723
Italy,1992,472065341
Italy,1993,486783483
Italy,1994,491723549
Italy,1995,479848007
Italy,1996,506733879
Italy,1997,502640312
Italy,1998,526262357
Italy,1999,534127431
Italy,2000,542428555
Italy,2001,558593123
Italy,2002,560269348
Italy,2003,548735889
Italy,2004,551208757
Italy,2005,551014108
Italy,2006,560997775
Italy,2007,586006710
Italy,2008,581546853
Italy,2009,600021411
Italy,2010,620155161
Italy,2011,607592773
Italy,2012,613996132
Italy,2013,603647564
