Entity,Year,Alcoholic Beverages (FAO (2017)),Animal fats (FAO (2017)),Barley (FAO (2017)),Bovine Meat (FAO (2017)),"Cereals, Other (FAO (2017))",Eggs (FAO (2017)),Fish & seafood (FAO (2017)),Fruit (FAO (2017)),Maize (FAO (2017)),"Meat, Other (FAO (2017))",Milk (FAO (2017)),Miscellaneous (FAO (2017)),Mutton & Goat Meat (FAO (2017)),Oilcrops (FAO (2017)),Pigmeat (FAO (2017)),Poultry Meat (FAO (2017)),Pulses (FAO (2017)),Rice (FAO (2017)),Starchy Roots (FAO (2017)),Sugar & Sweeteners (FAO (2017)),Sugar Crops (FAO (2017)),Nuts & Seeds (FAO (2017)),Vegetable Oils (FAO (2017)),Vegetables (FAO (2017)),Wheat (FAO (2017)),Treenuts (FAO (2017))
Italy,1961,223.0,65,11.0,84,14,35,21,133,62.0,6,183,1.0,5,7.0,34.0,18,46.0,53,101,243,,28.0,309,79,1183,28.0
Italy,1962,226.0,76,10.0,93,6,36,21,133,60.0,6,181,1.0,6,6.0,38.0,21,51.0,51,90,248,,28.0,363,74,1182,28.0
Italy,1963,226.0,74,10.0,106,4,37,21,150,40.0,7,193,1.0,5,8.0,37.0,24,55.0,54,96,258,,31.0,378,82,1182,31.0
Italy,1964,220.0,72,10.0,104,4,37,23,152,38.0,7,192,1.0,5,6.0,42.0,29,56.0,61,87,270,,31.0,356,90,1182,31.0
Italy,1965,233.0,77,11.0,103,5,38,25,151,38.0,7,199,0.0,5,7.0,41.0,34,56.0,51,79,266,,28.0,376,91,1197,28.0
Italy,1966,234.0,73,8.0,119,3,38,25,159,36.0,7,187,1.0,6,7.0,41.0,36,54.0,53,83,271,,30.0,384,94,1195,30.0
Italy,1967,233.0,75,7.0,131,4,36,24,160,36.0,7,199,0.0,6,9.0,46.0,35,54.0,48,84,278,,30.0,414,94,1209,30.0
Italy,1968,245.0,74,7.0,132,3,37,24,164,37.0,7,202,0.0,6,8.0,50.0,37,53.0,58,88,280,,32.0,428,93,1220,32.0
Italy,1969,245.0,87,7.0,139,3,39,24,166,37.0,8,193,0.0,7,7.0,49.0,37,53.0,45,90,294,,29.0,442,101,1221,29.0
Italy,1970,244.0,91,7.0,146,2,43,25,168,36.0,9,222,0.0,7,7.0,58.0,40,49.0,47,81,299,,33.0,485,102,1247,33.0
Italy,1971,242.0,95,7.0,148,2,41,25,159,36.0,9,227,1.0,7,8.0,64.0,41,45.0,40,77,300,,26.0,488,95,1246,26.0
Italy,1972,240.0,95,7.0,142,2,43,24,155,37.0,10,237,1.0,7,8.0,67.0,45,47.0,47,74,323,,29.0,516,88,1229,29.0
Italy,1973,243.0,103,7.0,151,2,44,24,156,38.0,10,243,1.0,7,9.0,73.0,50,43.0,57,71,342,,29.0,487,92,1270,29.0
Italy,1974,244.0,102,8.0,142,2,45,24,148,38.0,11,229,1.0,6,9.0,79.0,52,36.0,48,71,351,,28.0,497,97,1193,28.0
Italy,1975,229.0,93,8.0,131,2,45,23,141,41.0,12,232,1.0,7,9.0,83.0,53,35.0,52,70,287,,26.0,494,99,1202,26.0
Italy,1976,220.0,105,7.0,134,2,45,25,154,34.0,12,236,2.0,7,9.0,86.0,56,36.0,47,66,317,,26.0,479,93,1173,26.0
Italy,1977,212.0,110,7.0,135,2,44,24,130,34.0,13,243,1.0,9,9.0,90.0,57,34.0,48,77,310,,27.0,425,92,1177,27.0
Italy,1978,213.0,128,7.0,136,2,46,25,134,33.0,14,251,0.0,9,9.0,101.0,59,33.0,49,70,317,,28.0,517,94,1211,28.0
Italy,1979,212.0,132,3.0,142,1,45,27,129,38.0,14,267,1.0,9,8.0,105.0,60,36.0,50,75,330,,26.0,531,95,1255,26.0
Italy,1980,208.0,137,3.0,148,1,44,28,139,37.0,15,271,1.0,9,9.0,115.0,62,36.0,47,74,339,,30.0,510,100,1220,30.0
Italy,1981,196.0,134,1.0,146,1,44,25,136,37.0,15,272,0.0,9,9.0,114.0,62,32.0,47,69,338,,31.0,510,100,1164,31.0
Italy,1982,191.0,132,2.0,145,1,44,28,148,26.0,15,283,0.0,9,9.0,112.0,63,33.0,48,73,310,,29.0,510,103,1058,29.0
Italy,1983,193.0,133,1.0,152,1,45,30,150,27.0,15,280,1.0,10,10.0,123.0,64,33.0,51,68,299,,27.0,511,101,1014,27.0
Italy,1984,188.0,149,1.0,148,1,45,31,145,26.0,15,268,1.0,9,8.0,130.0,62,34.0,47,69,290,,24.0,512,102,1081,24.0
Italy,1985,179.0,149,1.0,148,0,45,35,141,25.0,16,288,1.0,10,11.0,129.0,61,34.0,47,68,272,,27.0,550,100,1050,27.0
Italy,1986,169.0,149,1.0,150,0,44,34,147,25.0,16,283,1.0,10,12.0,133.0,62,38.0,45,76,277,,30.0,587,102,1081,30.0
Italy,1987,163.0,157,2.0,155,0,46,37,151,23.0,16,272,2.0,10,14.0,137.0,64,39.0,54,75,277,,33.0,610,102,1062,33.0
Italy,1988,160.0,160,2.0,153,0,47,37,152,23.0,17,265,1.0,10,13.0,140.0,66,41.0,50,75,277,,32.0,613,102,1078,32.0
Italy,1989,157.0,159,2.0,154,0,48,39,160,23.0,16,261,1.0,11,15.0,144.0,66,42.0,53,76,280,,28.0,616,104,1076,28.0
Italy,1990,155.0,158,2.0,155,0,45,40,159,23.0,16,286,1.0,11,11.0,148.0,67,47.0,53,77,291,,30.0,625,101,1064,30.0
Italy,1991,156.0,157,2.0,156,0,49,42,158,23.0,17,276,1.0,11,14.0,151.0,67,53.0,57,75,298,,36.0,630,107,1088,36.0
Italy,1992,147.0,157,2.0,148,0,48,41,180,25.0,17,268,1.0,11,10.0,157.0,67,50.0,51,81,295,,35.0,573,112,1043,35.0
Italy,1993,145.0,158,2.0,152,0,47,38,165,24.0,17,252,2.0,11,12.0,158.0,67,50.0,58,77,294,,29.0,583,96,1012,29.0
Italy,1994,145.0,160,2.0,153,1,46,39,156,26.0,17,252,2.0,11,10.0,157.0,65,54.0,64,79,289,,39.0,599,103,994,39.0
Italy,1995,147.0,171,3.0,144,1,46,38,144,26.0,17,244,2.0,10,14.0,151.0,63,50.0,67,66,291,,37.0,602,105,1046,37.0
Italy,1996,146.0,170,3.0,144,2,49,40,161,26.0,18,265,2.0,11,11.0,162.0,64,49.0,68,68,294,,37.0,600,104,1051,37.0
Italy,1997,144.0,173,5.0,138,2,49,40,142,26.0,17,260,3.0,10,14.0,160.0,64,52.0,68,69,306,,35.0,617,105,1059,35.0
Italy,1998,140.0,187,6.0,139,2,48,43,150,28.0,17,283,3.0,10,14.0,171.0,63,53.0,69,73,310,,42.0,633,103,1060,42.0
Italy,1999,140.0,173,3.0,143,4,47,44,165,28.0,18,300,4.0,10,14.0,165.0,63,52.0,70,69,281,,40.0,660,109,1070,40.0
Italy,2000,144.0,162,3.0,139,3,48,43,180,28.0,17,275,4.0,10,14.0,166.0,65,51.0,58,77,295,,38.0,636,116,1071,38.0
Italy,2001,145.0,163,3.0,135,2,46,47,163,33.0,19,280,4.0,10,14.0,174.0,62,52.0,60,73,305,,41.0,643,98,1075,41.0
Italy,2002,133.0,167,3.0,135,2,46,46,178,35.0,18,291,5.0,9,13.0,174.0,62,52.0,62,71,300,,43.0,637,90,1065,43.0
Italy,2003,140.0,163,3.0,136,2,45,47,165,35.0,16,280,4.0,9,12.0,176.0,51,52.0,61,65,299,,36.0,632,105,1061,36.0
Italy,2004,137.0,161,6.0,131,2,46,47,186,29.0,16,279,5.0,9,13.0,174.0,55,52.0,56,73,306,,44.0,604,118,1055,44.0
Italy,2005,130.0,157,2.0,130,2,45,49,185,31.0,17,288,5.0,9,14.0,170.0,54,51.0,51,69,304,,42.0,589,110,1039,42.0
Italy,2006,123.0,157,4.0,134,3,42,49,198,31.0,17,286,5.0,10,14.0,177.0,47,52.0,57,69,284,,53.0,654,98,1038,53.0
Italy,2007,124.0,156,3.0,131,3,45,49,199,33.0,17,271,6.0,9,12.0,179.0,55,50.0,61,69,282,,46.0,663,97,1034,46.0
Italy,2008,114.0,160,3.0,126,3,46,48,193,29.0,18,289,6.0,9,13.0,170.0,59,49.0,56,66,282,,44.0,656,97,1038,44.0
Italy,2009,106.0,152,6.0,128,3,49,49,217,29.0,17,270,6.0,9,16.0,173.0,60,50.0,49,70,281,,45.0,631,108,1053,45.0
Italy,2010,103.0,149,3.0,127,5,44,48,186,30.0,18,290,6.0,8,16.0,182.0,61,52.0,58,70,286,,46.0,657,95,1023,46.0
Italy,2011,104.0,146,2.0,117,3,45,48,174,29.0,18,288,7.0,8,14.0,175.0,63,45.0,56,67,294,,51.0,677,93,1030,51.0
Italy,2012,102.0,162,3.0,112,10,47,48,161,28.0,18,284,8.0,7,18.0,176.0,66,47.0,52,66,302,,38.0,672,87,1040,38.0
Italy,2013,101.0,155,2.0,100,12,52,48,176,33.0,18,272,8.0,6,18.0,178.0,65,52.0,59,66,308,,43.0,659,85,1041,43.0
