Entity,Year,"Capital Intensity (Bergeaud, Cette, and Lecat (2016))","Age of capital stock (Bergeaud, Cette, and Lecat (2016))","Labor productivity (Bergeaud, Cette, and Lecat (2016))","Total Factor Productivity (TFP) (Bergeaud, Cette, and Lecat (2016))","GDP per capita (Bergeaud, Cette, and Lecat (2016))"
Italy,1800,,,,,2302.3057
Italy,1801,,,,,2272.8833
Italy,1802,,,,,2346.4395
Italy,1803,,,,,2412.6399
Italy,1804,,,,,2515.6184
Italy,1805,,,,,2434.7065
Italy,1806,,,,,2493.5515
Italy,1807,,,,,2500.9072
Italy,1808,,,,,2640.6638
Italy,1809,,,,,2655.375
Italy,1810,,,,,2449.418
Italy,1811,,,,,2368.5061
Italy,1812,,,,,2419.9954
Italy,1813,,,,,2486.1958
Italy,1814,,,,,2515.6184
Italy,1815,,,,,2405.2842
Italy,1816,,,,,2368.5061
Italy,1817,,,,,2390.573
Italy,1818,,,,,2574.4631
Italy,1819,,,,,2552.3965
Italy,1820,,,,,2552.3965
Italy,1821,,,,,2508.2627
Italy,1822,,,,,2537.6851
Italy,1823,,,,,2559.752
Italy,1824,,,,,2625.9524
Italy,1825,,,,,2589.1743
Italy,1826,,,,,2662.7305
Italy,1827,,,,,2618.5969
Italy,1828,,,,,2589.1743
Italy,1829,,,,,2581.8188
Italy,1830,,,,,2545.0408
Italy,1831,,,,,2633.3081
Italy,1832,,,,,2655.375
Italy,1833,,,,,2670.0862
Italy,1834,,,,,2692.1531
Italy,1835,,,,,2765.709
Italy,1836,,,,,2567.1077
Italy,1837,,,,,2500.9072
Italy,1838,,,,,2537.6851
Italy,1839,,,,,2515.6184
Italy,1840,,,,,2596.53
Italy,1841,,,,,2648.0193
Italy,1842,,,,,2670.0862
Italy,1843,,,,,2537.6851
Italy,1844,,,,,2537.6851
Italy,1845,,,,,2559.752
Italy,1846,,,,,2537.6851
Italy,1847,,,,,2478.8403
Italy,1848,,,,,2545.0408
Italy,1849,,,,,2530.3296
Italy,1850,,,,,2500.9072
Italy,1851,,,,,2500.9072
Italy,1852,,,,,2464.1292
Italy,1853,,,,,2412.6399
Italy,1854,,,,,2250.8164
Italy,1855,,,,,2272.8833
Italy,1856,,,,,2280.2388
Italy,1857,,,,,2464.1292
Italy,1858,,,,,2559.752
Italy,1859,,,,,2478.8403
Italy,1860,,,,,2464.1292
Italy,1861,,,,,2449.418
