Entity,Year,"Arable land per crop output (PIN) (FAO, 2019)"
Italy,1961,1.0
Italy,1962,0.983142252
Italy,1963,0.941032379
Italy,1964,0.898235869
Italy,1965,0.87510471
Italy,1966,0.860353414
Italy,1967,0.789879859
Italy,1968,0.84272565
Italy,1969,0.799362079
Italy,1970,0.786473329
Italy,1971,0.629353146
Italy,1972,0.678567432
Italy,1973,0.604504979
Italy,1974,0.605388414
Italy,1975,0.590197345
Italy,1976,0.633974782
Italy,1977,0.627307813
Italy,1978,0.619758185
Italy,1979,0.573157173
Italy,1980,0.54273095
Italy,1981,0.572728293
Italy,1982,0.59816623
Italy,1983,0.501002405
Italy,1984,0.569359686
Italy,1985,0.563135695
Italy,1986,0.55866545
Italy,1987,0.529480718
Italy,1988,0.57983207
Italy,1989,0.554390188
Italy,1990,0.627405277
Italy,1991,0.530869038
Italy,1992,0.518413705
Italy,1993,0.530960298
Italy,1994,0.5239019
Italy,1995,0.537082609
Italy,1996,0.52186729
Italy,1997,0.531693149
Italy,1998,0.524684261
Italy,1999,0.49368808
Italy,2000,0.510969538
Italy,2001,0.517584941
Italy,2002,0.538169201
Italy,2003,0.53510946
Italy,2004,0.44993918
Italy,2005,0.456910126
Italy,2006,0.459940362
Italy,2007,0.462036537
Italy,2008,0.466415162
Italy,2009,0.419796079
Italy,2010,0.441303319
Italy,2011,0.419211653
Italy,2012,0.472010591
Italy,2013,0.451547592
Italy,2014,0.466580711
