Entity,Year,Old Age
Italy,1980,7
Italy,1985,8.7
Italy,1990,9.2
Italy,1995,10.6
Italy,2000,11.1
Italy,2005,11.3
Italy,2010,12.9
Italy,2013,13.7
Italy,2014,..
Italy,2015,..
