Entity,Year,Total tax revenue (% of GDP) (ICTD (2019)),Total taxes on goods and services (% of GDP) (ICTD (2019)),"Total taxes on income, profits, and capital gains (% of GDP) (ICTD (2019))",Total taxes on payroll and workforce (% of GDP) (ICTD (2019)),Other taxes (% of GDP) (ICTD (2019)),Social contributions (% of GDP) (ICTD (2019))
Italy,1980,28.390121,8.382867,8.843445,0.181999,0.0,10.795686
Italy,1981,29.500913,8.154082,10.08787,0.208653,0.0,10.762853
Italy,1982,31.56792,8.503175,11.025189,0.216261,0.0,11.536835
Italy,1983,33.44043,9.23013,12.074638,0.216234,0.0,11.6631
Italy,1984,32.622015,9.221897,11.724103,0.205112,0.0,11.210228
Italy,1985,32.144602,8.701139,11.839417,0.181381,0.0,11.155819
Italy,1986,33.629829,9.43874,12.167597,0.18421,0.0,11.570916
Italy,1987,33.719343,9.522487,12.182956,0.183209,0.0,11.565137
Italy,1988,34.253426,10.19367,12.217396,0.185723,0.0,11.397581
Italy,1989,35.176328,10.088867,13.024567,0.188069,0.0,11.651959
Italy,1990,36.709813,10.900448,13.390715,0.123287,0.0,12.082043
Italy,1991,37.109444,11.126928,13.396097,0.118362,0.0,12.254639
Italy,1992,39.392242,11.44439,14.779657,0.110043,0.0,12.430799
Italy,1993,40.995795,11.42639,15.150936,0.11777,0.0,12.886615
Italy,1994,39.04869,11.82392,13.550403,0.116427,0.0,12.201124
Italy,1995,38.511963,11.262995,13.571115,0.11492,0.0,12.160167
Italy,1996,40.200378,11.190533,13.905972,0.060442,0.0,13.728475
Italy,1997,41.621036,11.581417,14.680603,0.053614,0.0,14.026695
Italy,1998,39.968463,11.861739,13.060846,0.053511,2.122903,11.729537
Italy,1999,40.834316,12.208054,13.856857,0.015821,2.091405,11.676552
Italy,2000,40.87313,12.294383,13.444274,0.0,2.202399,11.919115
Italy,2001,40.484304,11.653043,13.696536,0.0,2.34415,11.794669
Italy,2002,39.905129,11.630501,12.860412,0.0,2.30563,11.915261
Italy,2003,40.269967,11.202633,12.36692,0.0,2.316429,12.101327
Italy,2004,39.505963,11.341578,12.337433,0.0,2.182026,12.10897
Italy,2005,39.319314,11.301184,12.323853,0.0,2.322514,12.281273
Italy,2006,40.736657,11.756564,13.327322,0.0,2.416709,12.216605
Italy,2007,41.845384,11.633598,14.026034,0.0,2.440118,12.71451
Italy,2008,41.862633,11.380045,14.23358,0.0,2.222202,13.177261
Italy,2009,42.254836,11.510848,13.662404,0.0,2.006771,13.448956
Italy,2010,41.982588,12.040297,13.625655,0.0,1.982213,13.2607
Italy,2011,41.921629,12.195407,13.296177,0.0,1.998411,13.120406
Italy,2012,43.920604,12.487441,14.231249,0.0,2.043636,13.286587
Italy,2013,44.127101,12.550736,14.465592,0.0,1.982948,13.349434
Italy,2014,43.610528,12.838928,13.837023,0.0,1.866586,13.170682
Italy,2015,43.241499,12.774986,13.648661,0.0,1.695824,13.233617
Italy,2016,42.522422,13.003202,13.462809,0.0,1.189888,13.010455
Italy,2017,42.193631,12.973817,13.29153,0.0,1.281189,12.986024
Italy,2018,42.01721,12.908381,12.920815,0.0,1.351852,13.234137
Italy,2019,42.653777,12.954035,13.306116,0.0,1.350911,13.516477
