Entity,Year,Gini (Chartbook of Economic Inequality (2016))
Italy,1901,48.5
Italy,1911,46.0
Italy,1921,45.1
Italy,1931,44.9
Italy,1948,41.6
Italy,1967,39.1
Italy,1968,40.8
Italy,1969,39.7
Italy,1970,38.3
Italy,1971,39.7
Italy,1972,38.5
Italy,1973,40.0
Italy,1974,39.1
Italy,1975,35.2
Italy,1977,34.9
Italy,1978,33.3
Italy,1979,34.6
Italy,1980,32.5
Italy,1981,31.9
Italy,1982,29.5
Italy,1983,30.1
Italy,1984,31.9
Italy,1986,31.0
Italy,1987,32.2
Italy,1989,29.6
Italy,1991,29.3
Italy,1993,32.7
Italy,1995,33.2
Italy,1998,33.6
Italy,2000,33.3
Italy,2002,33.3
Italy,2004,34.9
Italy,2006,33.8
Italy,2008,33.3
Italy,2010,34.7
Italy,2012,35.0
