Entity,Year,Fertilizer consumption (FAO (2017) & Federico (2008))
Italy,1913,13.3
Italy,1922,11.7
Italy,1937,26.0
Italy,1957,42.4
Italy,1999,158.6
Italy,2002,171.1218776
Italy,2003,177.7024752
Italy,2004,181.4180975
Italy,2005,171.7530848
Italy,2006,177.0315889
Italy,2007,190.229954
Italy,2008,143.4762603
Italy,2009,120.1115886
Italy,2010,122.7459529
Italy,2011,134.3224702
Italy,2012,150.8159595
Italy,2013,129.0464333
Italy,2014,130.9453032
