Entity,Year,Data instruments used to estimate literacy (UIS (2017)),Methodologies used for measuring literacy (UIS (2017))
Italy,1981,Census,Self-reported (head of household)
Italy,2001,Census,Self-reported (head of household)
Italy,2011,Census,Self-reported (individual)
