Entity,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018)) "
Italy,1970,412.34,85.24,51.51,9.77
Italy,1975,427.87,86.14,54.13,10.62
Italy,1985,458.84,82.39,57.22,15.9
Italy,1990,507.8,83.85,60.74,20.0
Italy,1995,479.97,87.44,61.71,14.66
Italy,2000,504.68,86.06,57.83,11.02
Italy,2005,493.19,88.94,66.38,15.33
Italy,2010,500.79,90.74,68.95,14.83
Italy,2015,500.75,91.51,71.41,15.48
