Entity,Year,SO2 emissions per capita (Clio Infra)
Italy,1850,0.000189852
Italy,1860,0.000202378
Italy,1870,0.001171698
Italy,1880,0.001970117
Italy,1890,0.00511327
Italy,1900,0.005942763
Italy,1910,0.008272601
Italy,1920,0.005089483
Italy,1930,0.00978442
Italy,1940,0.01050691
Italy,1950,0.011199878
Italy,1960,0.02894482
Italy,1970,0.073975304
Italy,1980,0.061040069
Italy,1990,0.031459506
Italy,2000,0.013195784
