Entity,Year,Coal production (TWh),Gas production (TWh),Oil production (TWh),Annual change in coal production (%),Annual change in coal production (TWh),Annual change in oil production (%),Annual change in oil production (TWh),Annual change in gas production (%),Annual change in gas production (TWh),Coal production per capita (kWh),Oil production per capita (kWh),Gas production per capita (kWh)
Italy,1900,1.17,0.0,0.023,,,,,,,34.996,0.696,0.0
Italy,1901,1.039,0.0,0.023,-11.25,-0.132,0.0,0.0,,0.0,30.835,0.691,0.0
Italy,1902,1.021,0.0,0.035,-1.719,-0.018,50.0,0.012,,0.0,30.074,1.028,0.0
Italy,1903,0.863,0.0,0.023,-15.444,-0.158,-33.333,-0.012,,0.0,25.224,0.68,0.0
Italy,1904,0.664,0.0,0.047,-23.067,-0.199,100.0,0.023,,0.0,19.249,1.348,0.0
Italy,1905,1.018,0.0,0.07,53.358,0.354,50.0,0.023,,0.0,29.282,2.006,0.0
Italy,1906,1.176,0.0,0.081,15.485,0.158,16.667,0.012,,0.0,33.544,2.322,0.0
Italy,1907,1.133,0.0,0.093,-3.661,-0.043,14.286,0.012,,0.0,32.055,2.632,0.0
Italy,1908,1.179,0.0,0.081,4.085,0.046,-12.5,-0.012,,0.0,33.096,2.285,0.0
Italy,1909,1.365,0.0,0.07,15.713,0.185,-14.286,-0.012,,0.0,38.034,1.945,0.0
Italy,1910,1.387,0.0,0.081,1.669,0.023,16.667,0.012,,0.0,38.45,2.256,0.0
Italy,1911,1.378,0.0,0.116,-0.703,-0.01,42.857,0.035,,0.0,38.01,3.209,0.0
Italy,1912,1.63,0.0,0.081,18.347,0.253,-30.0,-0.035,,0.0,44.837,2.239,0.0
Italy,1913,1.708,0.0,0.081,4.735,0.077,0.0,0.0,,0.0,46.863,2.234,0.0
Italy,1914,1.905,0.0,0.07,11.566,0.197,-14.286,-0.012,,0.0,52.175,1.911,0.0
Italy,1915,2.363,0.0,0.07,24.024,0.458,0.0,0.0,,0.0,64.576,1.907,0.0
Italy,1916,3.283,0.0,0.081,38.944,0.92,16.667,0.012,,0.0,89.539,2.22,0.0
Italy,1917,4.406,0.0,0.07,34.224,1.124,-14.286,-0.012,,0.0,119.935,1.899,0.0
Italy,1918,5.422,0.0,0.058,23.051,1.016,-16.667,-0.012,,0.0,147.252,1.579,0.0
Italy,1919,2.934,0.0,0.058,-45.898,-2.489,0.0,0.0,,0.0,79.385,1.574,0.0
Italy,1920,5.07,0.0,0.058,72.841,2.137,0.0,0.0,,0.0,136.548,1.566,0.0
Italy,1921,3.437,0.0,0.047,-32.213,-1.633,-20.0,-0.012,,0.0,91.996,1.245,0.0
Italy,1922,3.419,0.0,0.047,-0.536,-0.018,0.0,0.0,,0.0,90.827,1.236,0.0
Italy,1923,3.755,0.0,0.058,9.834,0.336,25.0,0.012,,0.0,98.897,1.532,0.0
Italy,1924,3.277,0.0,0.058,-12.723,-0.478,0.0,0.0,,0.0,85.568,1.518,0.0
Italy,1925,4.24,0.0,0.093,29.39,0.963,60.0,0.035,,0.0,109.759,2.408,0.0
Italy,1926,4.608,0.0,0.058,8.67,0.368,-37.5,-0.035,,0.0,118.244,1.492,0.0
Italy,1927,1.437,0.0,0.07,-68.819,-3.171,20.0,0.012,,0.0,36.551,1.775,0.0
Italy,1928,2.759,0.0,0.07,91.995,1.322,0.0,0.0,,0.0,69.57,1.76,0.0
Italy,1929,3.725,0.0,0.07,35.019,0.966,0.0,0.0,,0.0,93.127,1.745,0.0
Italy,1930,3.29,0.0,0.093,-11.671,-0.435,33.333,0.023,,0.0,81.557,2.307,0.0
Italy,1931,2.811,0.0,0.186,-14.549,-0.479,100.0,0.093,,0.0,69.103,4.574,0.0
Italy,1932,2.995,0.0,0.314,6.543,0.184,68.75,0.128,,0.0,73.008,7.654,0.0
Italy,1933,3.655,0.0,0.314,22.042,0.66,0.0,0.0,,0.0,88.36,7.59,0.0
Italy,1934,4.473,0.0,0.233,22.38,0.818,-25.926,-0.081,,0.0,107.237,5.576,0.0
Italy,1935,5.567,0.0,0.186,24.446,1.094,-20.0,-0.047,,0.0,132.343,4.424,0.0
Italy,1936,9.723,0.0,0.186,74.653,4.156,0.0,0.0,,0.0,229.22,4.387,0.0
Italy,1937,12.94,0.0,0.163,33.086,3.217,-12.5,-0.023,,0.0,302.524,3.807,0.0
