Entity,Year,"Literacy rates (World Bank, CIA World Factbook, and other sources)"
Italy,1475,15.0
Italy,1550,18.0
Italy,1650,23.0
Italy,1750,23.0
Italy,1820,22.0
Italy,1870,32.0
Italy,1981,96.460541
Italy,2001,98.416618
Italy,2011,98.848282
Italy,2015,99.015793
