Entity,Year,Count of terrorist incidents (RAND),Injuries due to terrorism (RAND),Fatalities due to terrorism (RAND)
Italy,1968,1.0,0.0,0.0
Italy,1969,2.0,0.0,0.0
Italy,1970,6.0,0.0,0.0
Italy,1971,1.0,0.0,0.0
Italy,1972,9.0,0.0,1.0
Italy,1973,12.0,18.0,33.0
Italy,1974,13.0,0.0,0.0
Italy,1975,4.0,0.0,0.0
Italy,1976,36.0,2.0,0.0
Italy,1977,15.0,0.0,1.0
Italy,1978,6.0,1.0,0.0
Italy,1979,7.0,31.0,0.0
Italy,1980,20.0,20.0,8.0
Italy,1981,21.0,17.0,1.0
Italy,1982,18.0,36.0,3.0
Italy,1983,3.0,2.0,0.0
Italy,1984,9.0,3.0,5.0
Italy,1985,13.0,172.0,18.0
Italy,1986,6.0,9.0,4.0
Italy,1987,4.0,0.0,1.0
Italy,1988,2.0,17.0,5.0
Italy,1989,8.0,0.0,0.0
Italy,1990,1.0,0.0,0.0
Italy,1991,22.0,7.0,1.0
Italy,1992,8.0,10.0,0.0
Italy,1993,3.0,1.0,1.0
Italy,1994,4.0,2.0,0.0
Italy,1996,1.0,0.0,0.0
Italy,1997,1.0,0.0,0.0
Italy,1998,11.0,2.0,0.0
Italy,1999,26.0,0.0,1.0
Italy,2000,11.0,6.0,0.0
Italy,2001,23.0,3.0,0.0
Italy,2002,22.0,1.0,1.0
Italy,2003,34.0,53.0,0.0
Italy,2004,19.0,6.0,2.0
Italy,2005,18.0,5.0,0.0
Italy,2006,6.0,1.0,0.0
Italy,2007,4.0,0.0,0.0
Italy,2008,1.0,0.0,0.0
Italy,2009,3.0,2.0,0.0
