Entity,Year,Gini coefficient,Palma ratio (S90/S40 ratio),S90/S10 ratio,S80/S20 ratio,S90/S50 ratio,P90/P10 ratio,P90/P50 ratio,P50/P10 ratio,P0-P10 - share of the bottom 10%,P0-P40 - share of the bottom 40%,P0-P50 - share of the bottom 50%,P10-P20 - share of national income,P20-P30 - share of national income,P30-P40 - share of national income,P40-P50 - share of national income,P50-P60 - share of national income,P50-P90 - share of the middle 40%,P60-P70 - share of national income,P70-P80 - share of national income,P80-P90 - share of national income,P90-P100 - share of the top 10%,P99.999-P100 - share of the top 0.001%,P99.99-P100 - share of the top 0.01%,P99.9-P100 - share of the top 0.1%,P99-P100 - share of the top 1%,Mean income,P0-P10 - mean income of the bottom 10%,P10-P20 - mean income,P20-P30 - mean income,P30-P40 - mean income,P40-P50 - mean income,P50-P60 - mean income,P60-P70 - mean income,P70-P80 - mean income,P80-P90 - mean income,P90-P100 - mean income of the top 10%,P99.999-P100 - mean income of the top 0.001%,P99.99-P100 - mean income of the top 0.01%,P99.9-P100 - mean income of the top 0.1%,P99-P100 - mean income of the top 1%,P0 - income threshold of the bottom 10%,P10 - income threshold,P20 - income threshold,P30 - income threshold,P40 - income threshold,P50 - income threshold (median),P60 - income threshold,P70 - income threshold,P80 - income threshold,P90 - income threshold of the top 10%,P99.999 - income threshold of the top 0.001%,P99.99 - income threshold of the top 0.01%,P99.9 - income threshold of the top 0.1%,P99 - income threshold of the top 1%
Italy,2005,0.426190078038321,2.2542248,85.222221,14.246154,1.4138249,12.401952,2.2287245,5.5645962,0.36,13.61,21.7,2.89,4.89,6.140000000000001,7.42,8.85,47.620000000000005,10.55,12.590000000000002,15.62,30.680000000000003,0.18,0.63,2.25,8.15,47931.5600731005,1730.687668534439,13845.50134827551,23455.72546884818,29418.82573700792,35577.62533383371,42417.45256362145,50584.2056729084,60365.55362863976,74874.29176181665,147046.0330873166,8425007.92436199,3003927.854772165,1076250.116467884,390788.6423215013,0.0,6922.750674137757,20422.08433472662,26234.56547396694,32014.48031506253,38522.31222765253,45738.15958509292,54656.95294968519,66116.8221889599,85855.61734224229,4604818.772803283,1645435.733867065,593110.9911028483,218915.4807656859
Italy,2006,0.427278720999782,2.2657857,83.405403,14.087879,1.4234318,12.174895,2.2348526,5.4477396,0.37,13.62,21.68,2.93,4.91,6.069999999999999,7.399999999999999,8.81,47.45,10.47,12.54,15.63,30.86,0.18,0.64,2.29,8.27,48783.25923152467,1789.33715917473,14315.14958309429,23976.63546926516,29597.3372972087,36104.71690010224,42989.17201994016,51064.86011034091,61182.42494043692,76257.6055834739,150555.051712412,8810319.096259424,3129610.99935613,1116628.104610191,403319.1286122843,0.0,7157.650176496555,21114.87201979638,26380.20919622535,32374.51883344046,38993.01585176303,46155.49066502177,55158.71517295225,66786.39130961163,87143.64458784641,4796157.835995521,1707097.305545946,612475.7261371627,224591.9674561922
Italy,2007,0.428758506384938,2.2958579,86.222221,14.395061,1.4343808,12.478888,2.2285781,5.599484,0.36,13.52,21.64,2.88,4.87,6.08,7.449999999999999,8.83,47.32,10.43,12.46,15.6,31.04,0.1699999999999999,0.61,2.23,8.23,49085.55287865521,1767.475523846087,14139.95496066751,23908.18593520168,29841.28299349659,36545.56808424673,43342.87820256773,51211.55922189104,61145.18477542882,76582.36394552836,152371.0751436776,8174777.686381658,2986099.615776707,1093975.22885255,403985.5315650608,0.0,7069.902095384347,20856.30164332311,26557.96690693204,32792.30222306577,39587.80310260094,46406.22100675648,55073.68095001878,66925.25038642323,88224.51399247428,4551667.860372894,1664832.130580131,612106.7921947546,228215.8727441872
Italy,2008,0.426892642871581,2.2538519,85.333336,14.232416,1.4169742,12.605297,2.2982757,5.4846759,0.36,13.63,21.68,2.91,4.93,6.09,7.39,8.799999999999999,47.6,10.42,12.56,15.82,30.72,0.15,0.5599999999999999,2.09,7.88,47295.46186998639,1720.586085313618,13764.23637281249,23296.66322559495,28820.11846880073,34957.81027979198,41603.59664980065,49268.13522612409,59409.97400992983,74837.95621620146,145275.9944751906,7121539.127260704,2644325.061401822,986470.712508897,372588.6047555577,0.0,6882.193571355652,20302.37303506494,25747.27716098643,31567.44756506648,37746.60109823274,44646.43474775012,53203.53112507748,65203.75968171669,86752.09516061547,4014433.249161372,1493733.021684849,560350.1997886356,214730.5606841884
Italy,2009,0.42386513033365,2.2229533,84.472221,14.119267,1.3936756,12.458461,2.250391,5.5361314,0.36,13.68,21.82,2.91,4.93,6.15,7.470000000000001,8.870000000000001,47.77,10.52,12.62,15.76,30.41,0.12,0.47,1.9,7.6,44238.14986175037,1610.222519378675,12881.47861523176,21810.97664264013,27199.64359630242,33024.03555754938,39234.69999956865,46536.78773913307,55809.13651645408,69725.80125697181,134548.8669441725,5229721.557080641,2096108.370760381,839952.6756072417,336403.829039183,0.0,6440.739307615881,19000.32418887073,24229.92889927978,29794.09201516649,35656.77953071328,42260.8026387493,50260.20116034802,61018.83960021914,80241.70015974558,3126434.729897726,1252977.013376354,501973.4518953071,200922.4502708198
Italy,2010,0.42965375624191,2.3017883,88.257141,14.626959,1.4374127,12.885032,2.2831066,5.6436396,0.35,13.420000000000002,21.49,2.8400000000000003,4.82,6.069999999999999,7.399999999999999,8.799999999999999,47.63,10.48,12.57,15.77,30.89,0.16,0.58,2.15,8.03,44807.90930938445,1589.41627334176,12715.33018673408,21606.83419964025,27198.88974680833,33162.59309456334,39447.58709669999,46967.38657015793,56331.85575565689,70659.82078015072,138398.7763104959,7057472.323385974,2600776.080747569,962268.9775806962,359870.8622504426,0.0,6357.665093367038,18755.02156349347,24224.65195282114,29900.83710352979,35880.37129066071,42687.63222230371,50883.63469196139,61650.4147063687,81918.71374430072,3969364.055617336,1465392.35149429,544805.8232204763,206351.5235573654
Italy,2011,0.431048924911769,2.3177779,86.916664,14.532508,1.453321,12.67773,2.2806005,5.5589437,0.36,13.5,21.53,2.87,4.88,6.0600000000000005,7.359999999999999,8.75,47.19,10.38,12.41,15.65,31.290000000000003,0.15,0.58,2.17,8.21,44521.89881132627,1594.542449901579,12755.88728951618,21726.54549930193,26993.84268441554,32764.86210148085,38939.49253768256,46225.90020776988,55244.50324537983,69678.76104854052,139294.1987395774,6830714.998642955,2569568.82247078,967769.0634895852,365639.6201190256,0.0,6378.019029707499,18815.02798322312,24266.26444489498,29626.58665757944,35455.04940609449,42170.49146935719,50062.2402831997,60646.73948993575,80858.80135560858,3905114.217085442,1469800.109486241,554345.6377983008,210218.9222319517
Italy,2012,0.433339460496461,2.3552532,91.647057,15.13871,1.4670433,13.332827,2.3021536,5.7914586,0.3399999999999999,13.23,21.24,2.76,4.760000000000001,6.03,7.35,8.76,47.6,10.51,12.56,15.77,31.16,0.15,0.5599999999999999,2.13,8.09,42491.48058394119,1463.221868030903,11706.37802384249,20246.28663270456,25618.36889749685,31216.75678041529,37213.17719621385,44675.68410812086,53383.2488444688,67004.85689299925,132386.9773650179,6370180.653437837,2398989.718956521,905405.657931705,343661.5904284949,0.0,5853.189011921247,17266.92266215756,22836.51349440172,28250.20825126783,33898.5009706951,40551.67506574588,48579.71986812005,58593.85654762676,78039.55501760653,3654902.071492967,1377750.110851052,521302.3036937027,199188.1441247137
Italy,2013,0.430428400332565,2.3170547,88.114288,14.891374,1.4438202,13.130884,2.2658837,5.7950387,0.35,13.31,21.36,2.78,4.8,6.04,7.39,8.82,47.79,10.55,12.65,15.77,30.84,0.1399999999999999,0.53,2.04,7.91,41378.94950056149,1440.45561330935,11523.94644627244,19879.91577857627,24987.09533114492,30566.18466701463,36485.41089461827,43665.07347634228,52355.60121412376,65255.02144731489,127630.1870573028,5693282.155694837,2193082.212751175,845815.2123528897,327236.8684211359,0.0,5761.973223136219,16997.79839276703,22401.39156641231,27654.06407134056,33390.85872137413,39682.63736895761,47604.38939266494,57533.03953954171,75659.80293465963,3325941.450818643,1281861.962901647,495072.2613167003,192228.002515669
Italy,2014,0.432436034617753,2.3493152,90.794121,15.419142,1.4561321,13.669905,2.2794278,5.9970775,0.3399999999999999,13.14,21.2,2.69,4.75,6.02,7.39,8.85,47.94,10.59,12.65,15.85,30.87,0.15,0.5700000000000001,2.12,7.99,41380.60796944849,1392.963095181608,11143.70476145287,19649.69014308084,24926.63660171882,30595.43402738537,36614.62069790548,43805.44025214205,52355.1489044273,65592.74602066772,127729.6951905229,6358531.718745445,2358993.178658224,878555.3481909643,330568.2801054235,0.0,5571.852380726434,16436.93436916322,22369.57911776167,27631.297816619,33414.83113528623,39958.69705369378,47732.2422668628,57723.16038195149,76166.6913344865,3612450.243392415,1342517.296275815,502296.8533282721,191287.4998868409
