Entity,Year,Hours of work per week (total) (Huberman and Minns (2007)),Hours of work per week (male) (Huberman and Minns (2007)),Hours of work per week (female) (Huberman and Minns (2007)),Numbers of days off (Huberman and Minns (2007))
Italy,1870,63.299999,,,23.0
Italy,1880,63.400002,,,
Italy,1890,63.599998,,,
Italy,1900,63.799999,,,24.0
Italy,1913,62.400002,,,
Italy,1929,48.799999,,,
Italy,1938,48.5,,,37.0
Italy,1950,47.799999,,,24.0
Italy,1960,42.400002,,,
Italy,1970,42.900002,,,
Italy,1980,42.5,,,35.0
Italy,1990,39.599998,,,40.0
Italy,2000,,41.400002,35.400002,41.5
