Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Italy,1990,60.9,33.2
Italy,1995,58.0,32.6
Italy,2000,52.9,31.4
Italy,2005,45.6,29.1
Italy,2006,45.7,29.1
Italy,2010,43.6,28.7
Italy,2016,39.3,27.4
