Entity,Year,Coal production (TWh),Oil production (TWh),Gas production (TWh),Annual change coal production (%),Annual change in coal production (TWh),Annual change oil production (%),Annual change in oil production (TWh),Annual change gas production (%),Annual change in gas production (TWh),Coal production per capita (kWh),Oil production per capita (kWh),Gas production per capita (kWh)
Italy,1900,1.170351214058,0.023260018608,0.0,,,,,,,34.69111802947421,0.6894648727710088,0.0
Italy,1901,1.038686664282,0.023260018608,0.0,-11.25000326350538,-0.1316645497759998,0.0,0.0,,0.0,30.573901435387604,0.6846622188972273,0.0
Italy,1902,1.0208333166660002,0.034890027912,0.0,-1.7188386286196455,-0.0178533476159998,50.0,0.0116300093039999,,0.0,29.849768767341867,1.0202050113927188,0.0
Italy,1903,0.863174579428,0.023260018608,0.0,-15.444121450983506,-0.1576587372380001,-33.33333333333333,-0.0116300093039999,,0.0,25.052136779988164,0.6750814743163921,0.0
Italy,1904,0.6640660868080002,0.046520037216,0.0,-23.06700143462788,-0.1991084926199998,100.0,0.023260018608,,0.0,19.12486437696472,1.3397603344628937,0.0
Italy,1905,1.01839525916,0.069780055824,0.0,53.3575165771786,0.3543291723519999,50.0,0.0232600186079999,,0.0,29.093263517174822,1.9934593509452383,0.0
Italy,1906,1.1760945519860002,0.081410065128,0.0,15.48507727304964,0.1576992928260001,16.666666666666675,0.011630009304,,0.0,33.31387211770363,2.3060088954483997,0.0
Italy,1907,1.13303285087,0.093040074432,0.0,-3.6614148958758808,-0.0430617011160001,14.28571428571428,0.011630009304,,0.0,31.841795516906355,2.614719443188858,0.0
Italy,1908,1.179318443454,0.081410065128,0.0,4.085105965679592,0.046285592584,-12.5,-0.011630009304,,0.0,32.854781613812335,2.268013296826734,0.0
Italy,1909,1.364623869476,0.069780055824,0.0,15.712925296010429,0.1853054260219999,-14.28571428571429,-0.011630009304,,0.0,37.677695003537984,1.9266493276833057,0.0
Italy,1910,1.387394443248,0.081410065128,0.0,1.6686337005627383,0.0227705737719998,16.666666666666675,0.011630009304,,0.0,37.980613637334216,2.2286410651740525,0.0
Italy,1911,1.3776413798900002,0.11630009304,0.0,-0.7029769655965246,-0.0097530633579996,42.85714285714286,0.034890027912,,0.0,37.37706256503349,3.1553609795187665,0.0
Italy,1912,1.6303913043120002,0.081410065128,0.0,18.34656886120691,0.2527499244219999,-30.000000000000004,-0.034890027912,,0.0,43.96626898460893,2.1953605935003355,0.0
Italy,1913,1.7075883105140004,0.081410065128,0.0,4.734875977186115,0.0771970062020002,0.0,0.0,,0.0,45.797901417062654,2.183436203054416,0.0
Italy,1914,1.905085135178,0.069780055824,0.0,11.565833722798867,0.1974968246639996,-14.28571428571429,-0.011630009304,,0.0,50.718286199417626,1.8577252937109792,0.0
Italy,1915,2.362768279102,0.069780055824,0.0,24.0242882311523,0.4576831439240001,0.0,0.0,,0.0,62.40878203569679,1.8431296597624465,0.0
Italy,1916,3.282930126342,0.081410065128,0.0,38.94422721764823,0.9201618472399996,16.666666666666675,0.011630009304,,0.0,86.36846033306576,2.1417641284234525,0.0
Italy,1917,4.406494914082,0.069780055824,0.0,34.22445024719214,1.12356478774,-14.28571428571429,-0.011630009304,,0.0,116.4000046618698,1.843278837622638,0.0
Italy,1918,5.422248226684,0.05815004652,0.0,23.0512761822536,1.0157533126020004,-16.666666666666664,-0.0116300093039999,,0.0,144.3643665065082,1.5482128956898853,0.0
Italy,1919,2.933518180146,0.05815004652,0.0,-45.89848974988728,-2.488730046538,0.0,0.0,,0.0,78.50924880980342,1.556259818479499,0.0
Italy,1920,5.070332945152,0.05815004652,0.0,72.8413677292994,2.136814765006,0.0,0.0,,0.0,135.48990266082555,1.553890884079031,0.0
Italy,1921,3.437014971832,0.046520037216,0.0,-32.21322920976417,-1.63331797332,-20.000000000000007,-0.011630009304,,0.0,91.16580347762203,1.2339301997119207,0.0
Italy,1922,3.418608012662,0.046520037216,0.0,-0.5355507415840011,-0.0184069591699995,0.0,0.0,,0.0,89.83457434346758,1.222458885681791,0.0
Italy,1923,3.7547991149480007,0.05815004652,0.0,9.834151825561754,0.3361911022860004,25.0,0.011630009304,,0.0,97.7119125637959,1.5132506659338534,0.0
Italy,1924,3.277080677218,0.05815004652,0.0,-12.722876060883925,-0.4777184377300005,0.0,0.0,,0.0,84.48986490044828,1.4992275315603258,0.0
Italy,1925,4.240210614388,0.093040074432,0.0,29.389875686174012,0.9631299371700002,59.99999999999999,0.034890027912,,0.0,108.35166398393775,2.377487299260404,0.0
Italy,1926,4.607842297382,0.05815004652,0.0,8.670127888141721,0.3676316829939994,-37.5,-0.034890027912,,0.0,116.71463150506236,1.4729152634933116,0.0
Italy,1927,1.43678587165,0.069780055824,0.0,-68.81868391055121,-3.171056425732,20.0,0.0116300093039999,,0.0,36.08231307505496,1.752401572368552,0.0
Italy,1928,2.758563873516,0.069780055824,0.0,91.995476009802,1.321778001866,0.0,0.0,,0.0,68.72048272663407,1.738338983902067,0.0
Italy,1929,3.724579646328,0.069780055824,0.0,35.0187930062587,0.9660157728120002,0.0,0.0,,0.0,92.06510546656052,1.7248411388470792,0.0
Italy,1930,3.289870409672,0.093040074432,0.0,-11.671363695620595,-0.4347092366560003,33.33333333333335,0.023260018608,,0.0,80.69131412506813,2.2820126440666493,0.0
Italy,1931,2.811231971206,0.186080148864,0.0,-14.548853871533506,-0.478638438466,100.0,0.093040074432,,0.0,68.41392022504887,4.528431872658884,0.0
Italy,1932,2.995169896134,0.314010251208,0.0,6.542965034973336,0.1839379249280002,68.75,0.127930102344,,0.0,72.32616278741922,7.582593753730804,0.0
Italy,1933,3.655377090966,0.314010251208,0.0,22.042395514329893,0.6602071948320001,0.0,0.0,,0.0,87.59147970588977,7.524428222221606,0.0
