Entity,Year,"Case detection rate (all forms) [also known as TB treatment coverage], percent (c_cdr)","Case detection rate (all forms) [also known as TB treatment coverage], percent, high bound (c_cdr_hi)","Case detection rate (all forms) [also known as TB treatment coverage], percent, low bound (c_cdr_lo)","Case notification rate, which is the total of new and relapse cases and cases with unknown previous TB treatment history per 100 000 population (calculated) (c_newinc_100k)",Estimated TB case fatality ratio (cfr),Estimated TB case fatality ratio: high bound (cfr_hi),Estimated TB case fatality ratio: low bound (cfr_lo),Estimated TB case fatality ratio expressed as a percentage (cfr_pct),Estimated TB case fatality ratio: high bound expressed as a percentage (cfr_pct_hi),Estimated TB case fatality ratio: low bound expressed as a percentage (cfr_pct_lo),Estimated incidence (all forms) per 100 000 population (e_inc_100k),"Estimated incidence (all forms) per 100 000 population, high bound (e_inc_100k_hi)","Estimated incidence (all forms) per 100 000 population, low bound (e_inc_100k_lo)",Estimated number of incident cases (all forms) (e_inc_num),"Estimated number of incident cases (all forms), high bound (e_inc_num_hi)",Estimated number of incident cases (all forms) (e_inc_num_lo),Estimated incidence of TB cases who are HIV-positive per 100 000 population (e_inc_tbhiv_100k),"Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound (e_inc_tbhiv_100k_hi)","Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound (e_inc_tbhiv_100k_lo)",Estimated incidence of TB cases who are HIV-positive (e_inc_tbhiv_num),"Estimated incidence of TB cases who are HIV-positive, high bound (e_inc_tbhiv_num_hi)","Estimated incidence of TB cases who are HIV-positive, low bound (e_inc_tbhiv_num_lo)",Estimated mortality of TB cases (all forms) per 100 000 population (e_mort_100k),"Estimated mortality of TB cases (all forms) per 100 000 population, high bound (e_mort_100k_hi)","Estimated mortality of TB cases (all forms) per 100 000 population, low bound (e_mort_100k_lo)","Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population (e_mort_exc_tbhiv_100k)","Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound (e_mort_exc_tbhiv_100k_hi)","Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound (e_mort_exc_tbhiv_100k_lo)","Estimated number of deaths from TB (all forms, excluding HIV) (e_mort_exc_tbhiv_num)","Estimated number of deaths from TB (all forms, excluding HIV), high bound (e_mort_exc_tbhiv_num_hi)","Estimated number of deaths from TB (all forms, excluding HIV), low bound (e_mort_exc_tbhiv_num_lo)",Estimated number of deaths from TB (all forms) (e_mort_num),"Estimated number of deaths from TB (all forms), high bound (e_mort_num_hi)","Estimated number of deaths from TB (all forms), low bound (e_mort_num_lo)","Estimated mortality of TB cases who are HIV-positive, per 100 000 population (e_mort_tbhiv_100k)","Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound (e_mort_tbhiv_100k_hi)","Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound (e_mort_tbhiv_100k_lo)",Estimated number of deaths from TB in people who are HIV-positive (e_mort_tbhiv_num),"Estimated number of deaths from TB in people who are HIV-positive, high bound (e_mort_tbhiv_num_hi)","Estimated number of deaths from TB in people who are HIV-positive, low bound (e_mort_tbhiv_num_lo)",Estimated total population number (e_pop_num),Estimated HIV in incident TB (percent) (e_tbhiv_prct),"Estimated HIV in incident TB (percent), high bound (e_tbhiv_prct_hi)","Estimated HIV in incident TB (percent), low bound (e_tbhiv_prct_lo)"
Italy,2000,87.0,100.0,75.0,6.2,,,,,,,7.1,8.2,6.1,4000,4700,3400,0.98,1.5,0.57,560.0,850.0,320.0,1.0,1.1,0.95,0.88,0.89,0.88,500,500,500,590,640,540,0.15,0.25,0.08,86,140,43,56692178,14.0,21.0,8.2
Italy,2001,87.0,100.0,75.0,7.5,,,,,,,8.7,10.0,7.4,4900,5700,4200,1.1,1.7,0.65,640.0,970.0,370.0,0.95,1.1,0.85,0.78,0.79,0.78,440,450,440,540,600,490,0.17,0.29,0.09,98,160,49,56875147,13.0,19.0,7.7
Italy,2002,87.0,100.0,75.0,6.9,,,,,,,7.9,9.1,6.8,4500,5200,3900,1.0,1.6,0.61,590.0,910.0,350.0,0.96,1.1,0.87,0.8,0.8,0.79,460,460,450,550,600,500,0.16,0.27,0.08,92,150,45,57182519,13.0,20.0,7.8
Italy,2003,87.0,100.0,75.0,7.6,,,,,,,8.7,10.0,7.5,5000,5800,4300,1.2,1.9,0.73,720.0,1100.0,420.0,1.1,1.2,0.96,0.88,0.89,0.87,510,510,500,620,680,550,0.19,0.32,0.1,110,180,55,57564588,14.0,21.0,8.6
Italy,2004,87.0,100.0,75.0,6.8,,,,,,,7.9,9.1,6.7,4600,5300,3900,0.59,0.92,0.33,340.0,530.0,190.0,0.79,0.84,0.73,0.7,0.7,0.69,400,410,400,460,490,420,0.09,0.15,0.04,52,89,25,57948424,7.5,11.0,4.3
Italy,2005,87.0,100.0,75.0,6.6,,,,,,,7.6,8.8,6.5,4400,5100,3800,0.67,1.0,0.38,390.0,600.0,220.0,0.78,0.84,0.72,0.68,0.68,0.67,400,400,390,450,490,420,0.1,0.17,0.05,60,100,29,58281212,8.8,13.0,5.1
Italy,2006,87.0,100.0,75.0,7.1,,,,,,,8.1,9.4,7.0,4800,5500,4100,0.62,0.96,0.35,360.0,560.0,200.0,0.8,0.86,0.75,0.71,0.71,0.7,410,420,410,470,500,440,0.09,0.16,0.05,56,95,27,58542619,7.6,12.0,4.4
Italy,2007,87.0,100.0,75.0,4.7,,,,,,,5.4,6.2,4.6,3200,3700,2700,0.32,0.5,0.18,190.0,300.0,110.0,0.73,0.76,0.7,0.68,0.69,0.68,400,400,400,430,450,410,0.05,0.08,0.02,29,50,14,58747861,6.0,9.1,3.4
Italy,2008,87.0,100.0,75.0,7.0,,,,,,,8.1,9.3,6.9,4700,5500,4100,0.49,0.77,0.28,290.0,460.0,160.0,0.75,0.8,0.7,0.67,0.68,0.67,400,400,390,440,470,410,0.08,0.13,0.04,45,77,22,58922109,6.1,9.4,3.5
Italy,2009,87.0,100.0,75.0,6.9,,,,,,,8.0,9.2,6.8,4700,5400,4000,0.49,0.77,0.27,290.0,450.0,160.0,0.78,0.82,0.73,0.7,0.71,0.7,410,420,410,460,490,430,0.08,0.13,0.04,45,76,21,59105625,6.2,9.4,3.5
Italy,2010,87.0,100.0,75.0,7.7,,,,,,,8.8,10.0,7.5,5200,6000,4500,0.65,1.0,0.37,390.0,600.0,220.0,0.74,0.8,0.68,0.64,0.64,0.63,380,380,380,440,480,400,0.1,0.17,0.05,59,100,29,59325229,7.4,11.0,4.3
