Entity,Year,Agriculture,Agriculture (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Waste,Waste (per capita)
Italy,1990,27.73,0.4860798765788327,11.27,0.1975521171670914,8.82,0.1546060047394628,0.13,0.0022787733124864,0.01,0.0001752902548066,2.45,0.0429461124276285,54.56,0.9563836302250672,54.57,0.956558920479874,15.43,0.2704728631666566
Italy,1991,25.96,0.4547355513953208,11.41,0.1998664345693609,8.74,0.1530966378734631,0.12,0.002102013334647,0.01,0.0001751677778872,2.66,0.0465946289180105,53.52,0.9374979472526028,53.53,0.93767311503049,16.03,0.280793947953274
Italy,1992,25.51,0.4464058536529368,11.44,0.2001914137902625,8.81,0.1541683877178508,0.12,0.0020999099348628,0.01,0.0001749924945719,2.63,0.0460230260724117,53.51,0.9363848384542788,53.52,0.9365598309488506,16.43,0.2875126685816445
Italy,1993,24.57,0.4295634030862478,11.32,0.1979103672338756,8.65,0.1512300951036241,0.12,0.0020979897586629,0.01,0.0001748324798885,2.66,0.046505439650363,52.98,0.9262624784497112,52.99,0.9264373109296,16.97,0.2966907183709249
Italy,1994,24.39,0.4262977059730163,11.08,0.1936604584740066,8.44,0.1475175333502361,0.13,0.0022721894947311,0.01,0.000174783807287,2.63,0.0459681413164835,53.18,0.929500287152317,53.19,0.929675070959604,17.59,0.3074447170178498
Italy,1995,23.7,0.4145210973048572,10.85,0.1897702069939958,8.14,0.1423713810996429,0.13,0.0022737444155962,0.01,0.0001749034165843,2.72,0.0475737293109372,52.86,0.9245394600647576,52.87,0.924714363481342,18.18,0.3179744113503082
Italy,1996,23.85,0.4179427574734605,10.64,0.1864532888686633,7.98,0.1398399666514974,0.07,0.0012266663741359,0.01,0.0001752380534479,2.66,0.0466133222171658,53.39,0.9355959673588284,53.4,0.9357712054122764,18.83,0.3299732546425686
Italy,1997,23.63,0.4152634683272331,10.67,0.1875099960665077,7.94,0.1395341489004753,0.08,0.001405885631239,0.01,0.0001757357039048,2.73,0.0479758471660324,53.76,0.9447551441926388,53.78,0.9451066156004484,19.38,0.3405757941676588
Italy,1998,23.47,0.4136210869563876,10.71,0.1887465633277764,8.0,0.1409871621495995,0.08,0.0014098716214959,0.02,0.0003524679053739,2.7,0.0475831672254898,53.33,0.939855669679768,53.35,0.940208137585142,19.08,0.3362543817267949
Italy,1999,23.54,0.4154926953507126,10.47,0.1848007017978743,7.75,0.1367913504234504,0.07,0.0012355347780182,0.02,0.0003530099365766,2.72,0.0480093513744238,53.17,0.938476916389014,53.19,0.9388299263255906,19.09,0.3369479844624088
Italy,2000,23.66,0.4173415246103263,10.04,0.1770967416351511,7.57,0.1335281209340731,0.07,0.001234738238492,0.03,0.0005291735307823,2.47,0.043568620701078,53.84,0.9496900965773444,53.87,0.9502192701081268,20.07,0.3540170920933749
Italy,2001,21.06,0.3702847507315497,9.49,0.1668567086629823,7.15,0.1257139585816989,0.07,0.0012307660280725,0.0,0.0,2.34,0.0411427500812833,51.9,0.912525097956668,51.91,0.9127009216749642,21.29,0.3743286962523596
Italy,2002,22.35,0.3908537016057757,9.06,0.1584400240066365,7.21,0.1260874804732726,0.07,0.001224150295857,0.0,0.0,1.85,0.0323525435333639,52.0,0.9093687912080688,52.0,0.9093687912080688,20.52,0.3588509152997993
Italy,2003,21.68,0.3766204254494026,9.34,0.1622525264620581,7.08,0.1229922791596757,0.07,0.0012160253589233,0.0,0.0,2.26,0.0392602473023823,51.42,0.8932574850834077,51.43,0.8934312029918254,20.33,0.3531685078130236
Italy,2004,21.83,0.3767143197913882,8.63,0.1489255419056198,6.84,0.1180360030862618,0.07,0.0012079707918184,0.0,0.0,1.79,0.030889538819358,50.26,0.8673230285256608,50.26,0.8673230285256608,19.72,0.3403026287808601
Italy,2005,21.22,0.3640967708820178,9.12,0.1564826838098022,6.83,0.1171904309672093,0.07,0.0012010732309962,0.0,0.0,2.29,0.0392922528425928,50.19,0.8611695066243392,50.19,0.8611695066243392,19.77,0.3392173968113805
Italy,2006,21.2,0.3621293403357987,8.65,0.1477556034860688,6.17,0.1053933032958433,0.08,0.0013665258125879,0.0,0.0,2.48,0.0423623001902255,49.13,0.8392176646555564,49.13,0.8392176646555564,19.2,0.3279661950211007
Italy,2007,21.17,0.360353539333908,9.03,0.1537077213124794,6.01,0.1023015952478406,0.07,0.0011915327233525,0.03,0.0005106568814368,3.02,0.0514061260646387,49.12,0.8361155338725347,49.15,0.8366261907539716,18.84,0.3206925215423158
Italy,2008,21.48,0.3645490260397301,9.46,0.1605509211515757,6.07,0.1030173458129032,0.07,0.001188008930297,0.0,0.0,3.39,0.0575335753386724,49.33,0.8372068647364937,49.33,0.8372068647364937,18.31,0.3107491930534198
Italy,2009,21.52,0.3640939604696148,9.15,0.1548076086569227,5.95,0.1006672427878349,0.04,0.0006767545733635,0.0,0.0,3.2,0.0541403658690877,49.12,0.8310546160904964,49.12,0.8310546160904964,18.4,0.3113071037472543
Italy,2010,21.64,0.364768906424167,9.37,0.1579429137335695,6.21,0.1046772139045322,0.06,0.0010113740473867,0.0,0.0,3.15,0.0530971374878062,49.28,0.8306752175870126,49.28,0.8306752175870126,18.21,0.3069520233818892
Italy,2011,20.94,0.3514067260992662,8.47,0.1421401609389104,6.08,0.1020321344165968,0.07,0.0011747120738752,0.0,0.0,2.38,0.0399402105117599,47.07,0.7899099616758576,47.08,0.7900777776864113,17.6,0.2953561785743594
Italy,2012,21.11,0.3525415363987279,9.09,0.1518049533805986,6.05,0.1010363001047988,0.06,0.0010020128936013,0.02,0.0003340042978671,3.03,0.0506016511268662,47.92,0.8002742976895805,47.94,0.8006083019874475,17.66,0.2949257950166525
Italy,2013,20.58,0.342048944311972,8.94,0.1485868591909149,5.83,0.0968972471010105,0.05,0.00083102270241,0.0,0.0,3.1,0.0515234075494224,45.96,0.7638760680553078,45.96,0.7638760680553078,16.39,0.2724092418500108
Italy,2014,20.39,0.3375290115207144,8.37,0.1385540866320931,5.57,0.0922038545448935,0.05,0.0008276827158428,0.0,0.0,2.8,0.0463502320871996,45.09,0.7464042731470825,45.1,0.746569809690251,16.29,0.2696590288216006
Italy,2015,20.49,0.3382388755189981,8.01,0.1322251533873682,5.0,0.0825375489309414,0.04,0.0006603003914475,0.0,0.0,3.01,0.0496876044564267,45.01,0.7430030154763352,45.01,0.7430030154763352,16.47,0.2718786861785212
Italy,2016,20.82,0.3432071717836625,7.69,0.1267657613360405,4.76,0.0784661929726337,0.05,0.000824224716099,0.0,0.0,2.93,0.0482995683634068,44.68,0.7365272063061499,44.68,0.7365272063061499,16.12,0.2657300484703477
Italy,2017,20.83,0.3433118807633502,7.59,0.1250953996636499,4.68,0.0771339223222505,0.05,0.0008240803666907,0.03,0.0004944482200144,2.91,0.0479614773413993,44.34,0.7307944691813226,44.37,0.7312889174013371,15.88,0.2617279244609699
Italy,2018,20.5,0.3381315520101335,7.49,0.1235417231490683,4.6,0.0758734214266641,0.05,0.0008247111024637,0.0,0.0,2.89,0.0476683017224041,43.67,0.7203026768918308,43.67,0.7203026768918308,15.63,0.2578046906301652
