Entity,Year,0 to 4 (UN Population Division (2015)),5 to 14 (UN Population Division (2015)),15 to 24 (UN Population Division (2015)),25 to 60 (UN Population Division (2015)),70+ (UN Population Division (2015))
Italy,1981,3399.834,8682.749,8804.419,30637.719,4964.902
Italy,1982,3276.498,8520.942,8936.211,30752.13,5140.622
Italy,1983,3185.489,8324.33,9044.78,30890.587,5299.214
Italy,1984,3108.546,8096.9,9126.209,31099.675,5408.529
Italy,1985,3034.361,7847.56,9176.682,31399.531,5452.754
Italy,1986,2991.494,7586.601,9187.362,31690.178,5501.0
Italy,1987,2943.837,7318.524,9165.829,32063.787,5488.644
Italy,1988,2894.075,7053.556,9112.434,32477.774,5452.806
Italy,1989,2849.874,6802.883,9027.542,32871.245,5445.549
Italy,1990,2817.252,6571.67,8911.52,33211.421,3636.746
Italy,1991,2809.045,6371.737,8753.023,33465.959,3642.288
Italy,1992,2792.445,6205.262,8567.482,33686.096,3691.981
Italy,1993,2771.555,6067.789,8357.775,33880.747,3784.65
Italy,1994,2748.461,5950.536,8128.27,34068.194,3916.469
Italy,1995,2725.855,5845.429,7883.914,34257.648,4081.361
Italy,1996,2706.839,5759.939,7627.274,34405.753,4245.451
Italy,1997,2679.729,5689.806,7362.181,34551.455,4437.963
Italy,1998,2651.653,5634.036,7102.793,34700.65,4635.885
Italy,1999,2633.318,5591.509,6866.643,34861.146,4811.76
Italy,2000,2632.882,5561.151,6664.016,35039.156,4954.347
Italy,2001,2625.21,5547.643,6508.262,35263.481,5017.64
Italy,2002,2644.652,5539.695,6375.355,35516.156,5055.92
Italy,2003,2682.545,5533.137,6262.463,35773.329,5087.175
Italy,2004,2723.358,5525.795,6163.579,36007.258,5133.926
Italy,2005,2754.181,5519.468,6075.03,36198.638,5205.864
Italy,2006,2793.636,5523.099,6022.917,36272.976,5265.515
Italy,2007,2816.99,5526.99,5982.798,36297.769,5346.203
Italy,2008,2823.791,5533.952,5950.012,36294.261,5436.615
Italy,2009,2815.993,5545.588,5918.168,36290.029,5519.881
Italy,2010,2795.932,5559.016,5883.674,36297.773,5586.517
Italy,2011,2778.569,5574.061,5854.229,36263.411,5600.589
Italy,2012,2734.806,5593.157,5824.322,36251.717,5602.151
Italy,2013,2675.497,5612.256,5792.927,36238.918,5602.423
Italy,2014,2616.89,5625.498,5761.286,36194.705,5619.394
Italy,2015,2570.318,5628.173,5731.75,36108.557,9758.887
Italy,2016,2505.852,5625.769,5732.089,36000.462,9936.832
Italy,2017,2480.347,5600.068,5728.395,35843.685,10145.483
Italy,2018,2481.234,5553.335,5722.899,35663.183,10367.453
Italy,2019,2486.783,5491.272,5719.984,35492.354,10579.202
Italy,2020,2481.465,5422.712,5721.156,35344.642,10771.352
Italy,2021,2492.503,5356.988,5741.795,35181.068,10931.677
Italy,2022,2483.714,5287.701,5766.908,35038.235,11082.723
Italy,2023,2461.05,5220.934,5788.587,34905.675,11231.436
Italy,2024,2438.287,5161.879,5796.061,34766.885,11386.75
Italy,2025,2424.645,5110.781,5783.363,34613.631,11553.981
Italy,2026,2411.452,5073.55,5772.768,34450.438,11709.436
Italy,2027,2408.107,5041.813,5743.676,34274.84,11875.55
Italy,2028,2412.596,5014.119,5697.449,34081.832,12060.086
Italy,2029,2418.712,4987.987,5638.994,33869.121,12269.837
Italy,2030,2422.327,4963.363,5572.546,33636.191,12505.792
Italy,2031,2428.662,4949.432,5518.511,33382.677,12733.763
Italy,2032,2434.037,4934.343,5455.551,33104.845,12994.34
Italy,2033,2438.318,4920.552,5387.792,32808.955,13274.69
Italy,2034,2442.423,4910.006,5321.084,32498.105,13562.717
Italy,2035,2446.197,4903.101,5259.015,32170.816,13855.786
Italy,2036,2450.999,4907.564,5223.325,31835.411,14114.696
Italy,2037,2456.209,4912.258,5194.741,31488.915,14373.29
Italy,2038,2460.68,4916.69,5169.193,31128.414,14639.629
Italy,2039,2463.0,4920.602,5142.205,30757.121,14915.926
Italy,2040,2462.337,4924.782,5112.271,30383.921,15194.256
Italy,2041,2461.715,4939.395,5103.564,30030.918,15414.934
Italy,2042,2459.322,4949.376,5092.374,29672.879,15643.652
Italy,2043,2455.357,4956.418,5079.34,29323.331,15863.973
Italy,2044,2449.875,4961.594,5065.937,28995.252,16059.919
Italy,2045,2442.06,4964.9,5052.484,28691.866,16228.495
Italy,2046,2432.778,4975.607,5061.003,28430.015,16320.628
Italy,2047,2424.431,4979.897,5069.185,28192.671,16387.138
Italy,2048,2416.153,4978.258,5074.941,27975.783,16434.621
Italy,2049,2407.04,4971.415,5076.795,27774.415,16469.826
Italy,2050,2396.289,4960.859,5074.467,27587.341,16493.795
Italy,2051,2386.54,4958.784,5091.582,27445.131,16437.768
Italy,2052,2378.854,4949.286,5104.879,27315.932,16372.049
Italy,2053,2372.194,4933.82,5112.651,27195.869,16302.255
Italy,2054,2365.637,4914.391,5114.145,27081.503,16232.035
Italy,2055,2358.367,4893.145,5109.418,26971.294,16162.127
Italy,2056,2354.632,4881.878,5120.884,26892.516,16027.411
Italy,2057,2351.551,4865.55,5125.788,26810.515,15903.884
Italy,2058,2348.898,4846.386,5123.562,26727.458,15788.705
Italy,2059,2346.483,4826.374,5114.261,26645.0,15679.195
Italy,2060,2343.751,4806.648,5097.943,26561.66,15577.073
Italy,2061,2344.577,4797.976,5095.825,26501.651,15422.866
Italy,2062,2345.722,4787.122,5087.105,26435.171,15284.555
Italy,2063,2346.76,4775.083,5071.385,26362.212,15163.52
Italy,2064,2347.341,4762.815,5049.53,26285.152,15057.717
Italy,2065,2347.103,4751.283,5022.835,26206.409,14964.3
Italy,2066,2349.469,4750.821,5011.703,26151.595,14824.352
Italy,2067,2351.831,4748.137,4996.155,26089.719,14705.138
Italy,2068,2353.913,4744.588,4976.669,26022.353,14603.937
Italy,2069,2355.057,4740.893,4954.103,25948.265,14521.274
Italy,2070,2354.317,4737.178,4928.933,25864.115,14461.033
Italy,2071,2355.081,4743.125,4920.298,25795.525,14365.599
Italy,2072,2355.182,4746.591,4910.367,25717.965,14291.926
Italy,2073,2354.187,4747.874,4898.188,25629.641,14243.161
Italy,2074,2351.76,4747.13,4883.322,25528.914,14221.81
Italy,2075,2347.55,4744.91,4866.136,25416.993,14226.164
Italy,2076,2344.323,4751.694,4865.92,25326.004,14191.497
Italy,2077,2341.573,4754.231,4864.34,25223.532,14181.938
Italy,2078,2338.535,4753.043,4860.417,25113.834,14193.757
Italy,2079,2334.265,4748.813,4853.769,25004.186,14219.402
Italy,2080,2327.955,4742.523,4844.558,24900.048,14252.22
Italy,2081,2323.311,4744.386,4850.721,24831.224,14230.168
Italy,2082,2318.131,4741.407,4854.506,24765.441,14217.989
Italy,2083,2312.225,4734.562,4855.015,24701.035,14216.379
Italy,2084,2305.666,4724.907,4851.815,24634.84,14226.542
Italy,2085,2298.243,4713.311,4844.783,24564.557,14249.227
Italy,2086,2292.832,4709.966,4851.292,24522.371,14221.227
Italy,2087,2288.303,4701.975,4853.845,24472.82,14209.291
Italy,2088,2284.138,4690.471,4851.972,24418.014,14210.942
Italy,2089,2279.556,4676.566,4845.636,24360.325,14223.444
Italy,2090,2273.762,4661.145,4834.856,24300.049,14246.325
Italy,2091,2271.182,4654.556,4836.353,24269.234,14215.928
Italy,2092,2268.236,4644.803,4833.789,24233.343,14198.559
Italy,2093,2264.678,4632.644,4826.516,24191.152,14195.449
Italy,2094,2260.499,4618.843,4814.491,24141.716,14206.756
Italy,2095,2255.627,4604.12,4798.081,24084.972,14231.561
Italy,2096,2253.754,4598.839,4793.778,24056.703,14203.682
Italy,2097,2252.023,4590.833,4785.439,24018.361,14193.113
Italy,2098,2250.196,4580.886,4772.989,23970.9,14198.837
Italy,2099,2247.88,4569.895,4757.074,23916.571,14217.989
Italy,2100,2244.541,4558.644,4738.399,23856.947,14248.705
