Entity,Year,Rate of Natural Population Increase (UN Population Division (2015))
Italy,1955,0.8239
Italy,1960,0.7846
Italy,1965,0.8716
Italy,1970,0.7837
Italy,1975,0.6348
Italy,1980,0.3237
Italy,1985,0.1088
Italy,1990,0.0374
Italy,1995,-0.0142
Italy,2000,-0.069
Italy,2005,-0.0394
Italy,2010,-0.0256
Italy,2015,-0.1068
