Entity,Year,Share of people who report having intentions to start business (Global Entrepreneurship Monitor)
Italy,2002,9.4
Italy,2003,6.48
Italy,2004,9.33
Italy,2005,8.79
Italy,2006,8.27
Italy,2007,10.28
Italy,2008,7.12
Italy,2009,4.46
Italy,2010,3.97
Italy,2012,10.76
Italy,2013,9.8
Italy,2014,11.4
Italy,2015,8.15
Italy,2016,10.06
Italy,2017,10.25
