Entity,Year,Health
Italy,1980,5.3
Italy,1985,5.1
Italy,1990,5.7
Italy,1995,4.9
Italy,2000,5.5
Italy,2005,6.5
Italy,2010,7
Italy,2013,6.8
Italy,2014,..
Italy,2015,..
