Entity,Year,Daily protein supply (FAO (2017)),Daily protein supply of animal origin (FAO (2017)),Daily protein supply of plant origin (FAO (2017)),Share of protein of animal origin (FAO (2017)),Share of protein of plant origin (FAO (2017))
Italy,1947,71.1,16.0,55.1,22.50351617,77.49648383
Italy,1948,77.0,17.7,59.3,22.98701299,77.01298701
Italy,1961,82.54,29.03,53.51,35.17082627,64.82917373
Italy,1962,83.18,30.18,53.0,36.28276028,63.71723972
Italy,1963,85.95,32.24,53.71,37.51018034,62.48981966
Italy,1964,87.24,33.15,54.09,37.99862448,62.00137552
Italy,1965,88.86,34.6,54.26,38.93765474,61.06234526
Italy,1966,90.24,35.94,54.3,39.82712766,60.17287234
Italy,1967,92.35,37.6,54.75,40.71467244,59.28532756
Italy,1968,93.77,38.4,55.37,40.95126373,59.04873627
Italy,1969,94.61,39.02,55.59,41.24299757,58.75700243
Italy,1970,98.35,42.22,56.13,42.92831723,57.07168277
Italy,1971,98.19,43.16,55.03,43.95559629,56.04440371
Italy,1972,98.84,44.44,54.4,44.96155403,55.03844597
Italy,1973,102.86,46.8,56.06,45.49873615,54.50126385
Italy,1974,99.19,45.84,53.35,46.21433612,53.78566388
Italy,1975,99.08,45.57,53.51,45.99313686,54.00686314
Italy,1976,99.31,47.15,52.16,47.47759541,52.52240459
Italy,1977,100.11,48.13,51.98,48.07711517,51.92288483
Italy,1978,103.05,50.04,53.01,48.55895197,51.44104803
Italy,1979,107.1,52.21,54.89,48.74883287,51.25116713
Italy,1980,108.09,53.87,54.22,49.83809788,50.16190212
Italy,1981,104.91,52.99,51.92,50.50996092,49.49003908
Italy,1982,103.0,54.13,48.87,52.55339806,47.44660194
Italy,1983,102.78,55.63,47.15,54.12531621,45.87468379
Italy,1984,104.67,55.6,49.07,53.11932741,46.88067259
Italy,1985,105.68,57.29,48.39,54.21082513,45.78917487
Italy,1986,106.66,56.65,50.01,53.11269454,46.88730546
Italy,1987,107.58,57.78,49.8,53.70886782,46.29113218
Italy,1988,108.06,57.89,50.17,53.57208958,46.42791042
Italy,1989,108.77,58.38,50.39,53.67288774,46.32711226
Italy,1990,110.33,60.28,50.05,54.63609172,45.36390828
Italy,1991,112.5,60.93,51.57,54.16,45.84
Italy,1992,110.79,60.12,50.67,54.26482535,45.73517465
Italy,1993,107.71,59.02,48.69,54.79528363,45.20471637
Italy,1994,108.08,58.94,49.14,54.53367876,45.46632124
Italy,1995,107.48,57.05,50.43,53.07964272,46.92035728
Italy,1996,110.45,59.8,50.65,54.14214577,45.85785423
Italy,1997,110.11,59.14,50.97,53.70992644,46.29007356
Italy,1998,113.01,61.63,51.38,54.5349969,45.4650031
Italy,1999,114.75,62.73,52.02,54.66666667,45.33333333
Italy,2000,113.93,61.47,52.46,53.95418239,46.04581761
Italy,2001,113.66,62.08,51.58,54.61903924,45.38096076
Italy,2002,113.12,62.08,51.04,54.87977369,45.12022631
Italy,2003,111.69,60.29,51.4,53.97976542,46.02023458
Italy,2004,111.96,59.65,52.31,53.27795641,46.72204359
Italy,2005,111.36,60.12,51.24,53.98706897,46.01293103
Italy,2006,110.88,59.71,51.17,53.8510101,46.1489899
Italy,2007,110.73,59.88,50.85,54.07748578,45.92251422
Italy,2008,110.59,60.08,50.51,54.32679266,45.67320734
Italy,2009,112.01,59.93,52.08,53.50415142,46.49584858
Italy,2010,111.65,61.26,50.39,54.86789073,45.13210927
Italy,2011,109.88,60.06,49.82,54.65962869,45.34037131
Italy,2012,109.1,59.63,49.47,54.65627864,45.34372136
Italy,2013,108.51,58.24,50.27,53.67247258,46.32752742
