Entity,Year,Underweight (NCDRisC (2017)),Healthy (NCDRisC (2017)),Overweight (NCDRisC (2017)),Obese (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017))
Italy,1975,1.9,54.9,36.3,6.9,43.2
Italy,1976,1.8,54.3,36.8,7.2,44.0
Italy,1977,1.7,53.6,37.2,7.4,44.7
Italy,1978,1.6,53.0,37.7,7.7,45.4
Italy,1979,1.6,52.3,38.1,8.0,46.1
Italy,1980,1.5,51.7,38.6,8.2,46.8
Italy,1981,1.5,51.0,39.0,8.5,47.5
Italy,1982,1.4,50.4,39.3,8.8,48.2
Italy,1983,1.3,49.9,39.7,9.1,48.8
Italy,1984,1.3,49.3,40.0,9.4,49.4
Italy,1985,1.2,48.8,40.3,9.7,50.0
Italy,1986,1.2,48.2,40.6,9.9,50.6
Italy,1987,1.1,47.6,41.0,10.2,51.2
Italy,1988,1.1,47.1,41.3,10.6,51.8
Italy,1989,1.1,46.5,41.6,10.9,52.4
Italy,1990,1.0,45.9,41.8,11.2,53.0
Italy,1991,1.0,45.4,42.1,11.6,53.7
Italy,1992,0.9,44.8,42.4,11.9,54.3
Italy,1993,0.9,44.2,42.6,12.2,54.8
Italy,1994,0.9,43.7,42.8,12.6,55.4
Italy,1995,0.8,43.2,43.0,13.0,56.0
Italy,1996,0.8,42.6,43.2,13.4,56.6
Italy,1997,0.8,42.0,43.4,13.8,57.2
Italy,1998,0.8,41.5,43.6,14.2,57.8
Italy,1999,0.7,40.9,43.8,14.6,58.4
Italy,2000,0.7,40.3,43.9,15.1,59.0
Italy,2001,0.7,39.7,44.1,15.5,59.6
Italy,2002,0.6,39.1,44.2,16.0,60.2
Italy,2003,0.6,38.6,44.4,16.5,60.8
Italy,2004,0.6,38.0,44.5,16.9,61.4
Italy,2005,0.6,37.5,44.5,17.4,61.9
Italy,2006,0.6,37.0,44.6,17.9,62.4
Italy,2007,0.5,36.5,44.6,18.3,62.9
Italy,2008,0.5,36.1,44.6,18.8,63.4
Italy,2009,0.5,35.7,44.6,19.2,63.8
Italy,2010,0.5,35.3,44.5,19.7,64.2
Italy,2011,0.5,34.9,44.5,20.1,64.6
Italy,2012,0.5,34.5,44.4,20.6,65.0
Italy,2013,0.5,34.2,44.4,21.0,65.4
Italy,2014,0.4,33.8,44.3,21.4,65.7
