Entity,Year,Under 5 mortality rate [Our World in Data]
Italy,1872,444.6928553
Italy,1873,409.726396
Italy,1874,405.2457495
Italy,1875,403.9663726
Italy,1876,377.3210977
Italy,1877,365.851968
Italy,1878,370.4495944
Italy,1879,372.934315
Italy,1880,385.96578
Italy,1881,385.5733256
Italy,1882,391.0127574
Italy,1883,374.841186
Italy,1884,350.9075105
Italy,1885,355.850571
Italy,1886,364.7622948
Italy,1887,358.1549302
Italy,1888,347.6750275
Italy,1889,328.6801846
Italy,1890,332.3770258
Italy,1891,335.7359786
Italy,1892,323.2061722
Italy,1893,315.7145593
Italy,1894,315.4970536
Italy,1895,321.6451711
Italy,1896,308.1343672
Italy,1897,282.0331819
Italy,1898,290.465224
Italy,1899,272.8237449
Italy,1900,296.3027512
Italy,1901,276.7276216
Italy,1902,291.9861473
Italy,1903,280.6566641
Italy,1904,269.0443648
Italy,1905,273.683305
Italy,1906,266.641143
Italy,1907,255.4030876
Italy,1908,276.6789478
Italy,1909,262.0892875
Italy,1910,244.0384551
Italy,1911,260.5619328
Italy,1912,222.3533428
Italy,1913,229.6665344
Italy,1914,210.106391
Italy,1915,246.4199028
Italy,1916,255.979615
Italy,1917,233.9913174
Italy,1918,355.229128
Italy,1919,243.5694835
Italy,1920,244.067626
Italy,1921,220.8201518
Italy,1922,206.536719
Italy,1923,198.6834811
Italy,1924,190.4542984
Italy,1925,192.651625
Italy,1926,201.5625
Italy,1927,186.0492112
Italy,1928,185.5799208
Italy,1929,186.419833
Italy,1930,166.4723575
Italy,1931,165.1582024
Italy,1932,163.8076177
Italy,1933,150.2495544
Italy,1934,148.7295424
Italy,1935,151.0284678
Italy,1936,145.8921671
Italy,1937,162.3644814
Italy,1938,157.9173256
Italy,1939,141.32827
Italy,1940,142.5299662
Italy,1941,153.6170792
Italy,1942,154.3606075
Italy,1943,157.9225264
Italy,1944,137.6109046
Italy,1945,142.005735
Italy,1946,138.552651
Italy,1947,113.038015
Italy,1948,95.1573704
Italy,1949,93.855775
Italy,1950,88.9
Italy,1951,81.8
Italy,1952,75.3
Italy,1953,69.8
Italy,1954,65.3
Italy,1955,61.9
Italy,1956,59.3
Italy,1957,57.4
Italy,1958,55.8
Italy,1959,54.0
Italy,1960,52.0
Italy,1961,49.8
Italy,1962,47.6
Italy,1963,45.4
Italy,1964,43.1
Italy,1965,41.1
Italy,1966,39.3
Italy,1967,37.8
Italy,1968,36.4
Italy,1969,35.1
Italy,1970,33.6
Italy,1971,31.8
Italy,1972,29.8
Italy,1973,27.6
Italy,1974,25.3
Italy,1975,23.1
Italy,1976,21.1
Italy,1977,19.5
Italy,1978,18.1
Italy,1979,17.0
Italy,1980,16.1
Italy,1981,15.2
Italy,1982,14.3
Italy,1983,13.5
Italy,1984,12.7
Italy,1985,12.0
Italy,1986,11.3
Italy,1987,10.8
Italy,1988,10.4
Italy,1989,10.0
Italy,1990,9.7
Italy,1991,9.3
Italy,1992,8.9
Italy,1993,8.5
Italy,1994,8.0
Italy,1995,7.5
Italy,1996,7.0
Italy,1997,6.6
Italy,1998,6.2
Italy,1999,5.9
Italy,2000,5.5
Italy,2001,5.2
Italy,2002,5.0
Italy,2003,4.7
Italy,2004,4.5
Italy,2005,4.4
Italy,2006,4.3
Italy,2007,4.2
Italy,2008,4.1
Italy,2009,4.1
Italy,2010,4.0
Italy,2011,3.9
Italy,2012,3.8
Italy,2013,3.7
Italy,2014,3.6
Italy,2015,3.5
