Entity,Year,Share Public Education Expenditure (OECD Education Statistics (2017)),Private Expenditure on Education (OECD Education Statistics (2017)),Public Expenditure on Education (OECD Education Statistics (2017)),Capital Expenditure (OECD Education Statistics (2017)),Current Expenditure Staff (OECD Education Statistics (2017)),Current Expenditure Non-staff (OECD Education Statistics (2017))
Italy,2000,97.8,,,,,
Italy,2005,96.3,,,,,
Italy,2008,97.1,,,,,
Italy,2010,96.6,,,,,
Italy,2011,96.2,,,,,
Italy,2012,95.5,,,,,
