Entity,Year,Significant earthquake events (NGDC-NASA)
Italy,1057,0
Italy,1058,0
Italy,1063,0
Italy,1064,0
Italy,1065,1
Italy,1066,0
Italy,1067,0
Italy,1068,0
Italy,1070,0
Italy,1072,0
Italy,1076,0
Italy,1082,0
Italy,1085,0
Italy,1086,1
Italy,1088,0
Italy,1089,0
Italy,1091,0
Italy,1096,0
Italy,1099,0
Italy,1101,0
Italy,1102,0
Italy,1106,0
Italy,1109,0
Italy,1111,0
Italy,1114,1
Italy,1115,0
Italy,1117,2
Italy,1118,0
Italy,1119,0
Italy,1125,1
Italy,1130,0
Italy,1137,1
Italy,1139,0
Italy,1143,0
Italy,1149,0
Italy,1151,0
Italy,1153,0
Italy,1155,1
Italy,1156,0
Italy,1157,0
Italy,1158,0
Italy,1160,0
Italy,1164,0
Italy,1169,1
Italy,1171,0
Italy,1172,1
Italy,1175,0
Italy,1176,0
Italy,1179,0
Italy,1180,1
Italy,1182,0
Italy,1183,0
Italy,1184,1
Italy,1201,0
Italy,1202,0
Italy,1208,0
Italy,1209,0
Italy,1211,0
Italy,1219,0
Italy,1222,1
Italy,1223,1
Italy,1227,0
Italy,1231,1
Italy,1233,1
Italy,1237,0
Italy,1241,0
Italy,1248,1
Italy,1255,0
Italy,1257,0
Italy,1259,1
Italy,1267,0
Italy,1268,0
Italy,1269,0
Italy,1272,0
Italy,1273,1
Italy,1275,0
Italy,1276,0
Italy,1277,1
Italy,1279,1
Italy,1280,0
Italy,1281,0
Italy,1283,0
Italy,1284,0
Italy,1286,0
Italy,1289,0
Italy,1290,0
Italy,1291,0
Italy,1293,0
Italy,1295,0
Italy,1298,1
Italy,1300,1
Italy,1301,0
Italy,1303,0
Italy,1304,0
Italy,1305,0
Italy,1306,0
Italy,1310,0
Italy,1314,0
Italy,1319,1
Italy,1320,0
Italy,1323,0
Italy,1327,0
Italy,1328,1
Italy,1329,1
Italy,1331,0
Italy,1332,0
Italy,1336,0
Italy,1337,0
Italy,1339,0
Italy,1340,0
Italy,1341,0
Italy,1343,0
Italy,1344,0
Italy,1345,1
Italy,1346,0
Italy,1347,0
Italy,1348,0
Italy,1349,1
Italy,1350,0
Italy,1351,0
Italy,1352,1
Italy,1353,0
Italy,1354,0
Italy,1356,0
Italy,1358,0
Italy,1359,0
Italy,1360,0
Italy,1361,1
Italy,1365,0
Italy,1367,0
Italy,1368,0
Italy,1372,0
Italy,1374,0
Italy,1375,0
Italy,1377,0
Italy,1380,0
Italy,1382,0
Italy,1383,0
Italy,1384,0
Italy,1385,0
Italy,1386,0
Italy,1387,0
Italy,1389,0
Italy,1390,0
Italy,1391,0
Italy,1399,0
Italy,1400,0
Italy,1402,0
Italy,1403,0
Italy,1404,0
Italy,1405,0
Italy,1406,0
Italy,1407,0
Italy,1408,0
Italy,1414,1
Italy,1417,1
Italy,1418,0
Italy,1419,0
Italy,1426,0
Italy,1427,0
Italy,1428,0
Italy,1431,0
Italy,1433,0
Italy,1440,0
Italy,1441,0
Italy,1443,0
Italy,1444,0
Italy,1445,0
Italy,1447,1
Italy,1448,0
Italy,1451,0
Italy,1454,0
Italy,1455,0
Italy,1456,1
Italy,1457,0
Italy,1458,0
Italy,1459,0
Italy,1461,2
Italy,1463,0
Italy,1464,0
Italy,1469,0
Italy,1471,0
Italy,1475,0
Italy,1478,0
Italy,1479,0
Italy,1481,1
Italy,1482,0
Italy,1483,0
Italy,1484,0
Italy,1485,0
Italy,1487,0
Italy,1488,0
Italy,1489,0
Italy,1490,0
Italy,1491,0
Italy,1493,0
Italy,1494,0
Italy,1495,0
Italy,1496,0
Italy,1498,0
Italy,1499,0
Italy,1500,0
Italy,1501,0
Italy,1502,0
Italy,1504,0
Italy,1505,0
Italy,1507,0
Italy,1508,0
Italy,1509,1
Italy,1510,0
Italy,1511,1
Italy,1512,0
Italy,1513,0
Italy,1514,0
Italy,1515,0
Italy,1516,0
Italy,1517,0
Italy,1518,0
Italy,1520,0
Italy,1522,0
Italy,1523,0
Italy,1524,0
Italy,1527,0
Italy,1530,0
Italy,1531,0
Italy,1535,0
Italy,1536,0
Italy,1537,0
Italy,1538,1
Italy,1539,0
Italy,1541,0
Italy,1542,2
Italy,1543,0
Italy,1545,0
Italy,1546,0
Italy,1547,0
Italy,1549,0
Italy,1550,1
Italy,1551,0
Italy,1552,0
Italy,1553,0
Italy,1555,0
Italy,1556,0
Italy,1560,0
Italy,1561,2
Italy,1562,0
Italy,1563,0
Italy,1564,0
Italy,1565,0
Italy,1566,0
Italy,1568,0
Italy,1570,1
Italy,1571,0
Italy,1573,0
Italy,1574,0
Italy,1575,0
Italy,1576,0
Italy,1577,0
Italy,1578,0
Italy,1579,0
Italy,1580,0
Italy,1581,0
Italy,1582,1
Italy,1584,0
Italy,1586,0
Italy,1587,0
Italy,1588,0
Italy,1589,0
Italy,1590,0
Italy,1591,0
Italy,1593,0
Italy,1594,0
Italy,1596,0
Italy,1597,0
Italy,1598,0
Italy,1599,0
Italy,1600,0
Italy,1601,0
Italy,1602,0
Italy,1603,0
Italy,1604,0
Italy,1605,0
Italy,1606,0
Italy,1608,0
Italy,1609,1
Italy,1610,0
Italy,1611,0
Italy,1612,0
Italy,1613,1
Italy,1614,0
Italy,1615,0
Italy,1616,0
Italy,1618,0
Italy,1619,0
Italy,1620,0
Italy,1621,0
Italy,1622,0
Italy,1624,1
Italy,1625,0
Italy,1626,2
Italy,1627,1
Italy,1628,0
Italy,1629,0
Italy,1630,0
Italy,1631,1
Italy,1632,0
Italy,1633,0
Italy,1634,0
Italy,1636,0
Italy,1638,2
Italy,1639,1
Italy,1640,1
Italy,1641,0
Italy,1642,0
Italy,1643,0
Italy,1644,0
Italy,1645,0
Italy,1646,2
Italy,1647,0
Italy,1648,0
Italy,1649,1
Italy,1650,0
Italy,1651,0
Italy,1652,0
Italy,1653,0
Italy,1654,1
Italy,1655,0
Italy,1656,0
Italy,1657,0
Italy,1658,0
