Entity,Year,"Cigarette consumption per smoker per day (IHME, GHDx (2012))","Consumption per smoker per day lower bound (IHME, GHDx (2012))","Consumption per smoker per day upper bound (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - both (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - both (IHME, GHDx (2012))","Daily smoking prevalence - both (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - male (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - male (IHME, GHDx (2012))","Daily smoking prevalence - male (IHME, GHDx (2012))","Lower bound for daily smoking prevalence - female (IHME, GHDx (2012))","Upper bound for daily smoking prevalence - female (IHME, GHDx (2012))","Daily smoking prevalence - female (IHME, GHDx (2012))","Number of daily smokers - both (IHME, GHDx (2012))","Lower bound for number of daily smokers - both (IHME, GHDx (2012))","Upper bound for number of daily smokers - both (IHME, GHDx (2012))","Number of daily female smokers (IHME, GHDx (2012))","Lower bound for number of female daily smokers (IHME, GHDx (2012))","Upper bound for number of female daily smokers (IHME, GHDx (2012))","Number of daily male smokers (IHME, GHDx (2012))","Lower bound for number of daily male smokers (IHME, GHDx (2012))","Upper bound for number of daily male smokers (IHME, GHDx (2012))"
Italy,2002,21.700001,20.799999,22.6,22.6,23.799999,23.200001,27.4,29.1,28.299999,17.799999,19.299999,18.5,11385408,11108500,11677823,4727190,4540000,4934682,6658218,6445466,6846204
Italy,2003,21.799999,20.799999,22.700001,22.4,23.6,23.0,27.200001,28.9,28.1,17.5,19.1,18.299999,11366144,11072277,11682164,4701392,4508930,4919282,6664752,6452456,6867384
Italy,2004,21.799999,20.9,22.700001,22.200001,23.4,22.700001,27.0,28.700001,27.799999,17.200001,18.9,18.0,11360428,11069943,11686749,4679918,4476456,4907470,6680510,6471832,6899520
Italy,2005,21.799999,20.9,22.700001,21.9,23.0,22.5,26.700001,28.4,27.5,17.0,18.6,17.799999,11311751,11031178,11601877,4643681,4435014,4864644,6668070,6463920,6872177
Italy,2006,21.799999,20.799999,22.700001,21.700001,22.799999,22.200001,26.4,28.1,27.200001,16.9,18.4,17.6,11265664,10977534,11558925,4633788,4433755,4838076,6631876,6427271,6836613
Italy,2007,21.6,20.6,22.5,21.5,22.700001,22.1,26.1,27.700001,26.9,16.9,18.5,17.700001,11283812,10986677,11577355,4685507,4479752,4894888,6598305,6396245,6807018
Italy,2008,21.299999,20.299999,22.200001,21.5,22.700001,22.1,25.700001,27.4,26.5,17.1,18.799999,18.0,11359546,11058372,11660454,4793751,4558338,5015174,6565795,6354631,6777784
Italy,2009,21.0,20.0,22.0,21.4,22.9,22.200001,25.200001,27.299999,26.299999,17.4,19.5,18.4,11486787,11098584,11872244,4951011,4667522,5245678,6535776,6278389,6796515
Italy,2010,20.700001,19.5,22.0,21.299999,23.200001,22.200001,24.6,27.299999,25.9,17.4,20.299999,18.799999,11548631,11040599,12058009,5072012,4693160,5483376,6476619,6132363,6822106
Italy,2011,20.4,18.9,22.0,21.0,23.5,22.299999,23.9,27.4,25.700001,17.200001,21.0,19.1,11602426,10950113,12247149,5166169,4664233,5672819,6436257,5988080,6867694
Italy,2012,20.0,18.4,21.9,20.700001,23.799999,22.299999,23.299999,27.700001,25.6,17.0,21.6,19.299999,11659468,10824314,12456942,5236818,4625061,5855561,6422651,5862126,6966017
