Entity,Year,plastic_waste_exports,plastic_waste_imports,plastic_waste_reexports,plastic_waste_reimports,plastic_waste_net_exports,plastic_waste_exports_per_capita,plastic_waste_imports_per_capita,net_exports_per_capita,plastic_waste_reexports_per_capita,plastic_waste_reimports_per_capita,share_global_plastic_waste_exports,share_global_plastic_waste_imports,share_global_plastic_waste_reexports,share_global_plastic_waste_reimports
Italy,2007,,199010.348,1.54,2652.728,-199010.348,,3.387533340786654,-3.387533340786654,2.621371902134178e-05,0.0451544587221077,,1.4194422929758377,4.965817202356879e-05,34.04324564341658
Italy,2008,,,255.242,5321.91,,,,,0.0043318539340983,0.0903210943748184,,,0.0080277604221488,64.06201963205486
Italy,2009,212413.792,116475.224,,2009.01,95938.568,3.5938002511436307,1.9706285798203285,1.6231716713233022,,0.03399016878598,1.495363823040731,0.7659057913165012,,62.59655057022088
Italy,2010,263949.377,138290.583,,,125658.794,4.449192495361839,2.331058444069801,2.118134051292037,,,1.7186810987618597,0.8554268203654198,,
Italy,2011,269600.64,145794.503,,,123806.137,4.52433023289908,2.446665103292765,2.077665129606314,,,1.8557675132842488,0.8990544298172423,,
Italy,2012,228018.951,138956.979,,0.695,89061.972,3.807965545051269,2.320611448986153,1.4873540960651153,,1.1606649544715391e-05,1.538504340101846,0.8677066727023947,,0.0471840940042934
Italy,2013,191620.758,134360.437,,0.907,57260.321,3.184824003020402,2.233131469054676,0.951692533965726,,1.5074751821718108e-05,1.5179811801691243,0.8973807617033792,,0.0635653949149085
Italy,2014,175858.714,160232.138,,56.015,15626.576,2.911104456541856,2.652427510717664,0.2586769458241916,,0.0009272529772575,1.2371790809332717,1.0503835948360187,,2.659131314042388
Italy,2015,223054.103,153378.984,,,69675.119,3.682067848903723,2.5319051211710666,1.1501627277326565,,,1.622023003340519,1.019737046874061,,
Italy,2016,,178695.667,,0.197,-178695.667,,2.945707708024263,-2.945707708024263,,3.247445381430428e-06,,1.0742118979853632,,0.0053191130311519
Italy,2018,213265.26,,,,213265.26,3.517644727898764,,3.517644727898764,,,3.028129293888476,,,
Italy,2019,206108.935,136531.951,0.001,0.094,69576.984,3.4039409056554364,2.254859513673406,1.1490813919820304,1.6515251537520372e-08,1.552433644526915e-06,3.548080762094309,2.489317566663011,1.42967799934292e-05,0.0008353340620882
Italy,2020,,140488.877,,,-140488.877,,2.3235962531599275,-2.3235962531599275,,,,2.525417462168591,,
Italy,2021,187215.957,155680.655,,,31535.302,3.101272105613434,2.5788831276552378,0.5223889779581957,,,4.205399449349475,3.1755777160956047,,
