Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1787,,,,0.0,,,0.0,0.0,,,,
Italy,1788,,,,0.0,,,0.0,0.0,,,,
Italy,1789,,,,0.0,,,0.0,0.0,,,,
Italy,1790,,,,0.0,,,0.0,0.0,,,,
Italy,1791,,,,0.0,,,0.0,0.0,,,,
Italy,1792,,,,0.0,,,0.0,0.0,,,,
Italy,1793,,,,0.0,,,0.0,0.0,,,,
Italy,1794,,,,0.0,,,0.0,0.0,,,,
Italy,1795,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1796,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1797,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1798,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1799,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1800,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1801,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1802,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1803,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1804,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1805,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1806,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1807,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1808,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1809,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1810,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1811,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1812,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1813,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1814,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1815,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1816,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1817,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1818,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1819,,,0.0,0.0,,,0.0,0.0,0.0,,,
Italy,1820,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1821,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1822,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1823,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1824,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1825,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1826,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1827,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1828,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1829,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1830,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1831,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1832,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1833,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1834,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,
Italy,1835,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1836,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1837,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1838,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
