Entity,Year,Surface temperature anomaly,Surface temperature anomaly weighted by population,Surface temperature anomaly weighted by area
Italy,1880,-0.01,-0.04,-0.01
Italy,1881,-0.27,-0.3,-0.26
Italy,1882,-0.03,-0.06,-0.04
Italy,1883,-0.74,-0.79,-0.74
Italy,1884,-0.37,-0.38,-0.38
Italy,1885,-0.13,-0.17,-0.13
Italy,1886,-0.22,-0.25,-0.22
Italy,1887,-0.85,-0.96,-0.83
Italy,1888,-0.79,-0.89,-0.78
Italy,1889,-0.85,-0.92,-0.84
Italy,1890,-0.85,-0.88,-0.84
Italy,1891,-0.81,-0.85,-0.81
Italy,1892,-0.2,-0.25,-0.19
Italy,1893,-0.17,-0.17,-0.17
Italy,1894,-0.1,-0.13,-0.1
Italy,1895,-0.4,-0.46,-0.39
Italy,1896,-0.63,-0.68,-0.62
Italy,1897,0.15,0.19,0.14
Italy,1898,0.56,0.55,0.55
Italy,1899,0.23,0.27,0.22
Italy,1900,0.37,0.41,0.37
Italy,1901,-0.59,-0.68,-0.58
Italy,1902,-0.24,-0.27,-0.23
Italy,1903,-0.21,-0.22,-0.21
Italy,1904,0.27,0.33,0.26
Italy,1905,-0.5,-0.53,-0.5
Italy,1906,-0.29,-0.24,-0.3
Italy,1907,-0.25,-0.2,-0.26
Italy,1908,-0.38,-0.35,-0.38
Italy,1909,-0.69,-0.66,-0.7
Italy,1910,-0.32,-0.32,-0.32
Italy,1911,0.28,0.29,0.27
Italy,1912,-0.61,-0.64,-0.61
Italy,1913,-0.17,-0.22,-0.17
Italy,1914,-0.41,-0.41,-0.42
Italy,1915,-0.47,-0.55,-0.47
Italy,1916,0.01,-0.11,0.02
Italy,1917,-0.66,-0.77,-0.65
Italy,1918,-0.23,-0.32,-0.24
Italy,1919,-0.75,-0.77,-0.75
Italy,1920,0.67,0.67,0.66
Italy,1921,0.33,0.34,0.31
Italy,1922,-0.32,-0.32,-0.32
Italy,1923,0.23,0.26,0.22
Italy,1924,-0.27,-0.27,-0.27
Italy,1925,-0.27,-0.29,-0.27
Italy,1926,0.14,0.11,0.14
Italy,1927,0.52,0.54,0.52
Italy,1928,0.43,0.44,0.43
Italy,1929,-0.33,-0.3,-0.33
Italy,1930,0.37,0.35,0.36
Italy,1931,-0.37,-0.37,-0.35
Italy,1932,-0.34,-0.42,-0.34
Italy,1933,-0.57,-0.58,-0.56
Italy,1934,0.41,0.36,0.41
Italy,1935,-0.05,-0.07,-0.04
Italy,1936,-0.07,-0.09,-0.07
Italy,1937,0.34,0.32,0.34
Italy,1938,-0.27,-0.3,-0.27
Italy,1939,-0.37,-0.43,-0.36
Italy,1940,-0.92,-0.93,-0.91
Italy,1941,-0.78,-0.82,-0.77
Italy,1942,-0.02,-0.01,-0.01
Italy,1943,1.41,1.48,1.41
Italy,1944,-0.11,-0.12,-0.11
Italy,1945,0.86,0.91,0.86
Italy,1946,0.52,0.5,0.52
Italy,1947,0.94,0.94,0.94
Italy,1948,0.49,0.48,0.48
Italy,1949,0.63,0.63,0.62
Italy,1950,0.88,0.88,0.89
Italy,1951,0.38,0.37,0.38
Italy,1952,0.34,0.31,0.35
Italy,1953,0.13,0.14,0.13
Italy,1954,-0.43,-0.44,-0.42
Italy,1955,0.16,0.16,0.16
Italy,1956,-0.84,-0.87,-0.83
Italy,1957,0.21,0.2,0.21
Italy,1958,0.32,0.32,0.32
Italy,1959,0.3,0.32,0.28
Italy,1960,0.29,0.25,0.29
Italy,1961,0.76,0.78,0.76
Italy,1962,-0.18,-0.18,-0.17
Italy,1963,-0.22,-0.24,-0.21
Italy,1964,0.17,0.2,0.17
Italy,1965,-0.36,-0.37,-0.35
Italy,1966,0.24,0.25,0.23
Italy,1967,0.31,0.31,0.3
Italy,1968,0.0,-0.01,0.01
Italy,1969,-0.19,-0.2,-0.19
Italy,1970,-0.01,-0.01,0.0
Italy,1971,-0.1,-0.08,-0.1
Italy,1972,-0.12,-0.11,-0.12
Italy,1973,-0.07,-0.06,-0.07
Italy,1974,-0.04,-0.02,-0.05
Italy,1975,0.07,0.09,0.06
Italy,1976,-0.34,-0.32,-0.35
Italy,1977,0.25,0.21,0.25
Italy,1978,-0.46,-0.45,-0.46
Italy,1979,0.07,0.09,0.07
Italy,1980,-0.65,-0.64,-0.65
Italy,1981,-0.16,-0.15,-0.16
Italy,1982,0.59,0.6,0.59
Italy,1983,0.22,0.22,0.21
Italy,1984,-0.29,-0.3,-0.29
Italy,1985,0.14,0.14,0.15
Italy,1986,0.24,0.24,0.24
Italy,1987,0.29,0.28,0.3
Italy,1988,0.67,0.66,0.67
Italy,1989,0.34,0.34,0.33
Italy,1990,0.81,0.8,0.8
Italy,1991,-0.07,-0.07,-0.07
Italy,1992,0.67,0.67,0.66
Italy,1993,0.4,0.41,0.4
Italy,1994,1.4,1.41,1.39
Italy,1995,0.3,0.33,0.29
Italy,1996,0.02,0.03,0.02
Italy,1997,0.78,0.82,0.77
Italy,1998,0.63,0.65,0.62
Italy,1999,0.83,0.84,0.83
Italy,2000,1.18,1.19,1.17
Italy,2001,0.97,0.95,0.98
Italy,2002,1.07,1.09,1.06
Italy,2003,1.3,1.33,1.29
Italy,2004,0.63,0.64,0.63
Italy,2005,0.11,0.1,0.11
Italy,2006,0.86,0.86,0.85
Italy,2007,1.19,1.19,1.18
Italy,2008,1.03,1.01,1.03
Italy,2009,1.06,1.07,1.05
Italy,2010,0.45,0.42,0.46
Italy,2011,1.21,1.23,1.2
Italy,2012,1.19,1.18,1.19
Italy,2013,0.85,0.83,0.86
