Entity,Year,Surface temperature anomaly,Surface temperature anomaly weighted by population,Surface temperature anomaly weighted by area
Italy,1850,-1.14,-1.14,-1.14
Italy,1851,-0.85,-0.85,-0.85
Italy,1852,-0.33,-0.33,-0.33
Italy,1853,-0.78,-0.78,-0.78
Italy,1854,-0.83,-0.83,-0.83
Italy,1855,-0.5,-0.5,-0.5
Italy,1856,-0.27,-0.27,-0.27
Italy,1857,-0.68,-0.68,-0.68
Italy,1858,-1.51,-1.51,-1.51
Italy,1859,-0.05,-0.05,-0.05
Italy,1860,-0.8,-0.8,-0.8
Italy,1861,-0.13,-0.13,-0.13
Italy,1862,0.19,0.19,0.19
Italy,1863,0.57,0.57,0.57
Italy,1864,-0.85,-0.85,-0.85
Italy,1865,0.02,0.02,0.02
Italy,1866,0.0,0.0,0.0
Italy,1867,0.11,0.11,0.11
Italy,1868,0.13,0.13,0.13
Italy,1869,-0.13,-0.13,-0.13
Italy,1870,-0.73,-0.73,-0.73
Italy,1871,-0.98,-0.98,-0.98
Italy,1872,0.44,0.44,0.44
Italy,1873,0.17,0.17,0.17
Italy,1874,-0.4,-0.4,-0.4
Italy,1875,-0.66,-0.66,-0.66
Italy,1876,-0.22,-0.22,-0.22
Italy,1877,-0.03,-0.03,-0.03
Italy,1878,0.11,0.11,0.11
Italy,1879,-0.38,-0.38,-0.38
Italy,1880,-0.19,-0.19,-0.19
Italy,1881,-0.18,-0.18,-0.18
Italy,1882,-0.14,-0.14,-0.14
Italy,1883,-0.8,-0.8,-0.8
Italy,1884,-0.52,-0.52,-0.52
Italy,1885,-0.43,-0.43,-0.43
Italy,1886,-0.19,-0.19,-0.19
Italy,1887,-0.58,-0.58,-0.58
Italy,1888,-0.86,-0.86,-0.86
Italy,1889,-0.78,-0.78,-0.78
Italy,1890,-0.9,-0.9,-0.9
Italy,1891,-0.85,-0.85,-0.85
Italy,1892,-0.32,-0.32,-0.32
Italy,1893,-0.17,-0.17,-0.17
Italy,1894,-0.33,-0.33,-0.33
Italy,1895,-0.21,-0.21,-0.21
Italy,1896,-0.75,-0.75,-0.75
Italy,1897,-0.09,-0.09,-0.09
Italy,1898,0.11,0.11,0.11
Italy,1899,-0.08,-0.08,-0.08
Italy,1900,0.09,0.09,0.09
Italy,1901,-0.63,-0.63,-0.63
Italy,1902,-0.52,-0.52,-0.52
Italy,1903,-0.53,-0.53,-0.53
Italy,1904,-0.06,-0.06,-0.06
Italy,1905,-0.66,-0.66,-0.66
Italy,1906,-0.51,-0.51,-0.51
Italy,1907,-0.46,-0.46,-0.46
Italy,1908,-0.55,-0.55,-0.55
Italy,1909,-0.82,-0.82,-0.82
Italy,1910,-0.75,-0.75,-0.75
Italy,1911,-0.06,-0.06,-0.06
Italy,1912,-0.76,-0.76,-0.76
Italy,1913,-0.43,-0.43,-0.43
Italy,1914,-0.79,-0.79,-0.79
Italy,1915,-0.55,-0.55,-0.55
Italy,1916,-0.2,-0.2,-0.2
Italy,1917,-0.68,-0.68,-0.68
Italy,1918,-0.75,-0.75,-0.75
Italy,1919,-0.83,-0.83,-0.83
Italy,1920,0.26,0.26,0.26
Italy,1921,0.1,0.1,0.1
Italy,1922,-0.46,-0.46,-0.46
Italy,1923,-0.1,-0.1,-0.1
Italy,1924,-0.22,-0.22,-0.22
Italy,1925,-0.34,-0.34,-0.34
Italy,1926,-0.05,-0.05,-0.05
Italy,1927,0.24,0.24,0.24
Italy,1928,0.29,0.29,0.29
Italy,1929,-0.47,-0.47,-0.47
Italy,1930,-0.1,-0.1,-0.1
Italy,1931,-0.34,-0.34,-0.34
Italy,1932,-0.31,-0.31,-0.31
Italy,1933,-0.45,-0.45,-0.45
Italy,1934,0.16,0.16,0.16
Italy,1935,-0.09,-0.09,-0.09
Italy,1936,-0.13,-0.13,-0.13
Italy,1937,0.16,0.16,0.16
Italy,1938,-0.39,-0.39,-0.39
Italy,1939,-0.56,-0.56,-0.56
Italy,1940,-1.38,-1.38,-1.38
Italy,1941,-1.26,-1.26,-1.26
Italy,1942,-0.26,-0.26,-0.26
Italy,1943,0.71,0.71,0.71
Italy,1944,-0.38,-0.38,-0.38
Italy,1945,0.55,0.55,0.55
Italy,1946,0.4,0.4,0.4
Italy,1947,0.49,0.49,0.49
Italy,1948,0.03,0.03,0.03
Italy,1949,0.37,0.37,0.37
Italy,1950,0.58,0.58,0.58
Italy,1951,0.21,0.21,0.21
Italy,1952,0.26,0.26,0.26
Italy,1953,0.21,0.21,0.21
Italy,1954,-0.45,-0.45,-0.45
Italy,1955,-0.02,-0.02,-0.02
Italy,1956,-0.62,-0.62,-0.62
Italy,1957,-0.01,-0.01,-0.01
Italy,1958,0.18,0.18,0.18
Italy,1959,0.13,0.13,0.13
Italy,1960,0.13,0.13,0.13
Italy,1961,0.63,0.63,0.63
Italy,1962,0.03,0.03,0.03
Italy,1963,0.11,0.11,0.11
Italy,1964,0.2,0.2,0.2
Italy,1965,-0.26,-0.26,-0.26
Italy,1966,0.27,0.27,0.27
Italy,1967,0.25,0.25,0.25
Italy,1968,0.08,0.08,0.08
Italy,1969,0.01,0.01,0.01
Italy,1970,-0.05,-0.05,-0.05
Italy,1971,-0.1,-0.1,-0.1
Italy,1972,-0.27,-0.27,-0.27
Italy,1973,-0.06,-0.06,-0.06
Italy,1974,-0.28,-0.28,-0.28
Italy,1975,-0.08,-0.08,-0.08
Italy,1976,-0.27,-0.27,-0.27
Italy,1977,-0.07,-0.07,-0.07
Italy,1978,-0.5,-0.5,-0.5
Italy,1979,0.02,0.02,0.02
Italy,1980,-0.69,-0.69,-0.69
Italy,1981,-0.26,-0.26,-0.26
Italy,1982,0.33,0.33,0.33
Italy,1983,0.12,0.12,0.12
Italy,1984,-0.49,-0.49,-0.49
Italy,1985,0.13,0.13,0.13
Italy,1986,0.23,0.23,0.23
Italy,1987,0.25,0.25,0.25
Italy,1988,0.49,0.49,0.49
Italy,1989,0.09,0.09,0.09
Italy,1990,0.57,0.57,0.57
Italy,1991,-0.08,-0.08,-0.08
Italy,1992,0.47,0.47,0.47
Italy,1993,0.45,0.45,0.45
Italy,1994,0.97,0.97,0.97
Italy,1995,0.12,0.12,0.12
Italy,1996,-0.03,-0.03,-0.03
Italy,1997,0.63,0.63,0.63
Italy,1998,0.52,0.52,0.52
Italy,1999,0.49,0.49,0.49
Italy,2000,0.87,0.87,0.87
Italy,2001,0.74,0.74,0.74
Italy,2002,0.73,0.73,0.73
Italy,2003,1.08,1.08,1.08
Italy,2004,0.56,0.56,0.56
Italy,2005,0.26,0.26,0.26
Italy,2006,0.87,0.87,0.87
Italy,2007,0.95,0.95,0.95
Italy,2008,0.85,0.85,0.85
Italy,2009,0.81,0.81,0.81
Italy,2010,0.22,0.22,0.22
Italy,2011,1.24,1.24,1.24
Italy,2012,1.36,1.36,1.36
Italy,2013,0.82,0.82,0.82
Italy,2014,1.22,1.22,1.22
Italy,2015,1.52,1.52,1.52
Italy,2016,1.07,1.07,1.07
Italy,2017,1.68,1.68,1.68
