Entity,Year,e10 (United Nations Population Division and Human Mortality Database (2015))
Italy,1750,
Italy,1755,
Italy,1760,
Italy,1765,
Italy,1770,
Italy,1775,
Italy,1780,
Italy,1785,
Italy,1790,
Italy,1795,
Italy,1800,
Italy,1805,
Italy,1810,
Italy,1815,
Italy,1820,
Italy,1825,
Italy,1830,
Italy,1835,
Italy,1840,
Italy,1845,
Italy,1850,
Italy,1855,
Italy,1860,
Italy,1865,
Italy,1870,45.65
Italy,1875,46.72
Italy,1880,47.79
Italy,1885,48.92
Italy,1890,49.56
Italy,1895,50.84
Italy,1900,51.3
Italy,1905,51.68
Italy,1910,53.2
Italy,1915,41.49
Italy,1920,53.65
Italy,1925,54.86
Italy,1930,56.61
Italy,1935,57.02
Italy,1940,52.89
Italy,1945,58.8
Italy,1950,61.9
Italy,1955,62.77
Italy,1960,63.23
Italy,1965,63.7
Italy,1970,64.45
Italy,1975,65.01
Italy,1980,65.92
Italy,1985,67.16
Italy,1990,68.09
Italy,1995,69.22
Italy,2000,70.6
Italy,2005,71.84
Italy,2010,73.09
Italy,2015,73.97
Italy,2020,74.75
Italy,2025,75.5
Italy,2030,76.19
Italy,2035,76.88
Italy,2040,77.53
Italy,2045,78.18
Italy,2050,78.84
Italy,2055,79.48
Italy,2060,80.08
Italy,2065,80.69
Italy,2070,81.28
Italy,2075,81.89
Italy,2080,82.53
Italy,2085,83.08
Italy,2090,83.66
Italy,2095,84.28
