Entity,Year,democracy_support_claassen,democracy_support_high_claassen,democracy_support_low_claassen
Italy,1988,0.8391487,1.9733914,-0.33443451
Italy,1989,0.84923363,2.0656893,-0.32644901
Italy,1990,0.86281538,2.0399742,-0.31183171
Italy,1991,0.87313211,2.0488729,-0.30036432
Italy,1992,0.88297415,2.0226548,-0.19247234
Italy,1993,0.92301065,2.0373256,-0.14999287
Italy,1994,0.9594714,2.038738,-0.12448968
Italy,1995,0.99692631,2.0420914,-0.045773599
Italy,1996,1.0397685,2.0033164,0.04056308
Italy,1997,1.072162,1.9400231,0.1755417
Italy,1998,1.1300752,1.9003562,0.31763577
Italy,1999,1.1935207,1.8650075,0.51344621
Italy,2000,1.1661474,1.9110874,0.40993902
Italy,2001,1.1391094,1.9054955,0.3453975
Italy,2002,1.1114037,1.9465426,0.28893444
Italy,2003,1.0821482,1.8679336,0.32021686
Italy,2004,1.0499256,1.8206265,0.33807451
Italy,2005,1.0165663,1.6809591,0.38494089
Italy,2006,0.8660177,1.5787424,0.20515175
Italy,2007,0.84546101,1.5843388,0.13765177
Italy,2008,0.82750666,1.5422115,0.14100593
Italy,2009,0.80417341,1.4265542,0.20099191
Italy,2010,0.77714026,1.5150659,0.087046795
Italy,2011,0.75678772,1.5683787,-0.017583946
Italy,2012,0.72933465,1.5922204,-0.090971321
Italy,2013,0.7098462,1.5397437,-0.11828402
Italy,2014,0.68921375,1.545036,-0.14493181
Italy,2015,0.66743457,1.5100342,-0.085049219
Italy,2016,0.64415509,1.4205117,-0.072256505
Italy,2017,0.62208062,1.3144674,-0.008446604
Italy,2018,0.71199936,1.3934768,0.092936523
Italy,2019,0.7134909,1.5028013,-0.069004118
Italy,2020,0.71502072,1.5576915,-0.18527846
