Entity,Year,"Agriculture (GHG Emissions, CAIT)","Bunker Fuels (GHG Emissions, CAIT)","Energy (GHG Emissions, CAIT)","Industry (GHG Emissions, CAIT)","Land-Use Change and Forestry (GHG Emissions, CAIT)",Total GHG emissions including LUCF (CAIT),"Waste (GHG Emissions, CAIT)",Total GHG emissions excluding LUCF (CAIT),"Buildings (GHG Emissions, CAIT)","Electricity & Heat (GHG Emissions, CAIT)","Fugitive from energy production (GHG Emissions, CAIT)","Manufacturing/Construction energy (GHG Emissions, CAIT)","Other Fuel Combustion (GHG Emissions, CAIT)","Transport (GHG Emissions, CAIT)","Agriculture (per capita) (GHG Emissions, CAIT)","Buildings (per capita) (GHG Emissions, CAIT)","Electricity & Heat (per capita) (GHG Emissions, CAIT)","Fugitive Emissions (per capita) (GHG Emissions, CAIT)","Industry (per capita) (GHG Emissions, CAIT)","International aviation & shipping (per capita) (GHG Emissions, CAIT)","Land-Use Change and Forestry (per capita) (GHG Emissions, CAIT)","Manufacturing & Construction (per capita) (GHG Emissions, CAIT)","Total excluding LUCF (per capita) (GHG Emissions, CAIT)","Total including LUCF (per capita) (GHG Emissions, CAIT)","Transport (per capita) (GHG Emissions, CAIT)","Waste (per capita) (GHG Emissions, CAIT)"
Italy,2004,35.48,15.7,468.74,15.93,-35.11,506.07,21.04,541.18,75.6,178.3,6.88,68.3,15.66,124.0,0.6122730724097466,1.3046179333195278,3.0768965279215847,0.1187271346724649,0.274901635949472,0.2709325602264099,-0.6058880375509077,1.178642921239732,9.339062607855318,8.73317457030441,2.139849520259543,0.3630841444053289
Italy,2005,34.21,16.2,470.88,16.26,-35.13,507.32,21.1,542.44,80.3,177.8,6.87,66.5,16.61,123.0,0.5869837511367341,1.3778075187453886,3.0507369468608982,0.1178771812426005,0.2789931538580326,0.2779636588253462,-0.6027693416379266,1.141023661227501,9.307321425507457,8.704723666374976,2.1104648170072577,0.362039086494741
Italy,2006,34.07,17.1,463.25,12.17,-34.1,495.92,20.52,530.02,74.7,179.7,6.21,61.8,16.65,124.3,0.5819653929590215,1.275985173291427,3.0695386297251592,0.1060758758519379,0.2078813863314145,0.2920929914763507,-0.5824778368037169,1.0556343200724254,9.053516218847683,8.471038382043968,2.123225663187742,0.3505115897716208
Italy,2007,34.12,18.0,456.16,12.38,-34.14,488.7,20.17,522.83,68.4,179.6,6.05,60.5,16.81,124.7,0.5807857288758765,1.164294954721863,3.057125348948049,0.10298222918227,0.2107305780622319,0.3063934091373323,-0.5811261659971403,1.0298222918227005,8.899537005515082,8.318581058078573,2.1226254510791858,0.3433308367944441
Italy,2008,33.82,18.0,443.99,12.3,-34.3,475.47,19.65,509.76,72.5,173.5,6.11,57.0,16.98,117.9,0.5739791588880214,1.2304402430331625,2.944570788500051,0.1036964122059672,0.2087505515766607,0.3054886120634059,-0.5821255218763789,0.967380604867452,8.651437493635655,8.069481687654866,2.0009504090153083,0.3334917348358847
Italy,2009,32.65,16.6,398.13,13.09,-34.22,429.39,19.74,463.61,73.2,147.4,5.99,43.2,16.55,111.8,0.552397387744053,1.238452948939194,2.493824654011437,0.1013433492369641,0.2214665177816127,0.280851351808615,-0.5789598348729401,0.7308902649477211,7.843704530842892,7.264744695969952,1.891516935674889,0.3339762460663892
Italy,2010,32.73,19.1,406.61,13.29,-34.4,437.79,19.55,472.19,76.1,153.1,6.25,45.8,16.16,109.2,0.5517067003792667,1.282764433206911,2.5806995364517484,0.1053518752633796,0.2240202275600505,0.3219553308048883,-0.5798567214496418,0.7720185419300463,7.959376316898441,7.379519595448799,1.84070796460177,0.3295406658238516
Italy,2011,32.03,17.8,397.23,13.84,-34.26,427.74,18.9,462.0,70.4,152.1,6.12,45.0,14.51,109.2,0.5375153132289516,1.181426102132944,2.5524845189548406,0.1027035191058752,0.2322576314420446,0.2987128496870228,-0.5749383275436741,0.7551729346020238,7.753108795247446,7.1781704677037705,1.832552987967578,0.31717263253285
Italy,2012,32.68,17.3,380.59,14.4,-34.25,412.41,18.98,446.66,69.5,144.0,6.09,43.3,15.1,102.5,0.5457672973830558,1.1606740259523372,2.404849780390454,0.1017051052956796,0.2404849780390454,0.2889159805607976,-0.5719868401275907,0.7231249686868517,7.459376409091669,6.887389568964078,1.7117854339584828,0.3169725613320195
Italy,2013,32.11,16.0,351.26,14.97,-34.39,381.69,17.74,416.08,69.0,122.6,5.87,38.1,14.89,100.7,0.533681253843469,1.1468080509249257,2.037661841208636,0.0975617863612944,0.2488074858311034,0.2659265045623016,-0.5715757807435969,0.6332374889889807,6.915418751142653,6.343842970399056,1.6736749380889857,0.2948460119334518
Italy,2014,31.73,15.4,332.08,15.49,-34.33,362.62,17.64,396.95,57.7,113.7,5.6,35.2,14.39,105.4,0.5252441648733653,0.9551398775037246,1.882138718755173,0.0926998841251448,0.2564145009104453,0.2549246813441483,-0.5682833967886111,0.5826849859294818,6.570931964906472,6.002648568117861,1.744744247641119,0.2920046349942062
Italy,2015,31.97,15.6,342.34,15.86,-34.39,373.6,17.82,407.99,63.6,120.9,5.03,34.9,15.01,103.0,0.5277493479481,1.0498860972630326,1.9957740433820856,0.0830334444847964,0.2618112185942091,0.2575192314041401,-0.5676978441018192,0.5761167420515698,6.734953283370201,6.167255439268382,1.700287232988874,0.2941661989501139
Italy,2016,32.44,17.0,337.91,16.0,-34.18,369.63,17.47,403.81,63.6,118.1,4.79,34.7,14.82,101.7,0.5347575952392727,1.0484150140942583,1.946820961706477,0.0789608163130738,0.2637522048035871,0.2802367176038112,-0.5634406475116628,0.5720125941677794,6.6566111138585295,6.093170466346868,1.6764749517828,0.2879844386199165
