Entity,Year,"Agriculture (GHG Emissions, CAIT)","Bunker Fuels (GHG Emissions, CAIT)","Energy (GHG Emissions, CAIT)","Industry (GHG Emissions, CAIT)","Land-Use Change and Forestry (GHG Emissions, CAIT)",Total GHG emissions including LUCF (CAIT),"Waste (GHG Emissions, CAIT)",Total GHG emissions excluding LUCF (CAIT),"Buildings (GHG Emissions, CAIT)","Electricity & Heat (GHG Emissions, CAIT)","Fugitive from energy production (GHG Emissions, CAIT)","Manufacturing/Construction energy (GHG Emissions, CAIT)","Other Fuel Combustion (GHG Emissions, CAIT)","Transport (GHG Emissions, CAIT)","Agriculture (per capita) (GHG Emissions, CAIT)","Buildings (per capita) (GHG Emissions, CAIT)","Electricity & Heat (per capita) (GHG Emissions, CAIT)","Fugitive Emissions (per capita) (GHG Emissions, CAIT)","Industry (per capita) (GHG Emissions, CAIT)","International aviation & shipping (per capita) (GHG Emissions, CAIT)","Land-Use Change and Forestry (per capita) (GHG Emissions, CAIT)","Manufacturing & Construction (per capita) (GHG Emissions, CAIT)","Total excluding LUCF (per capita) (GHG Emissions, CAIT)","Total including LUCF (per capita) (GHG Emissions, CAIT)","Transport (per capita) (GHG Emissions, CAIT)","Waste (per capita) (GHG Emissions, CAIT)"
Italy,1990,43.22,13.0,405.32,10.16,-34.27,441.12,16.69,475.39,67.0,143.5,8.87,74.0,15.85,96.1,0.7576076286635814,1.17444958631328,2.515425606506801,0.1554831019492357,0.1780956387603421,0.2278782779413827,-0.6007221988500913,1.297153274435563,8.3331580423503,7.73243584350021,1.6845463469359134,0.292560650680129
Italy,1991,41.19,13.3,404.58,10.09,-34.27,438.9,17.31,473.17,73.1,139.0,8.8,69.9,15.78,97.9,0.7215176569506726,1.280479260089686,2.434837443946188,0.1541479820627802,0.1767446748878924,0.2329736547085202,-0.6003012892376682,1.2244254484304933,8.288431894618835,7.688130605381165,1.7148963004484308,0.3032160874439461
Italy,1992,40.58,13.0,402.0,8.87,-34.27,434.88,17.7,469.14,68.2,138.4,8.86,67.8,16.04,103.0,0.710123370373611,1.1934552454282965,2.42190917840581,0.1550441858430308,0.1552191792807769,0.2274914690699098,-0.5997025111558317,1.186455507918453,8.209642138419808,7.610114620701724,1.8024324087846704,0.3097383848105696
Italy,1993,39.29,13.2,398.9,8.88,-34.27,431.02,18.21,465.28,67.8,134.8,8.7,65.8,16.9,104.9,0.686912129794748,1.1853561313332632,2.3567257596419457,0.1521032203923213,0.1552501835728522,0.2307772999055911,-0.5991468233155006,1.15038987377181,8.134550159096472,7.535578167068778,1.83398020909822,0.3183677750970313
Italy,1994,38.78,13.0,394.21,8.42,-34.27,425.97,18.83,460.24,59.2,137.4,8.49,67.5,16.82,104.6,0.6778061313664487,1.0347117838291326,2.401510119900724,0.1483902541336036,0.1471667773621841,0.2272171146922082,-0.5989792708078443,1.1797811724403118,8.044184989687839,7.445205718879994,1.8282238612926904,0.3291152515118676
Italy,1995,37.89,13.7,416.8,9.6,-34.27,449.43,19.41,483.7,65.8,150.0,8.18,68.5,17.41,106.9,0.6627138209675727,1.1508727743379858,2.6235701542659253,0.1430720257459684,0.1679084898730192,0.2396194074229544,-0.5993983279112884,1.1980970371147726,8.460139224122853,7.860740896211565,1.8697309966068492,0.3394899779620107
Italy,1996,38.34,12.4,413.69,9.18,-34.38,446.93,20.09,481.3,67.5,145.4,8.03,66.9,17.16,108.7,0.6718654166301586,1.182861648996758,2.547971611320424,0.1407167265399106,0.1608691842635591,0.2172960658897748,-0.6024708665556822,1.172347323227898,8.43424165425392,7.831946026461053,1.9048453517918165,0.3520546744939981
Italy,1997,37.71,13.0,416.87,9.6,-34.38,450.45,20.64,484.82,65.0,147.6,7.99,69.0,16.98,110.3,0.6626950653732602,1.1422747082806128,2.5938422606495157,0.140411921833263,0.1687051876845213,0.2284549416561226,-0.604175453395192,1.212568536482497,8.519963447209335,7.9159637283846465,1.938352312666948,0.3627161535217208
Italy,1998,37.62,14.2,427.52,10.25,-34.37,461.39,20.37,495.76,68.7,151.6,8.05,68.7,17.17,113.4,0.6629892673986219,1.210722027386638,2.671695187071533,0.1418677193662654,0.1806390215533193,0.2502511322982571,-0.6057134800768376,1.210722027386638,8.736936714660839,8.131223234584002,1.99848439455087,0.3589870116137673
Italy,1999,37.78,12.4,433.18,10.89,-34.37,467.88,20.4,502.25,72.9,147.4,7.8,71.9,16.78,116.3,0.6668314035583169,1.286712792996329,2.601666195989833,0.1376729737362327,0.1922126517932787,0.2188647274781135,-0.6066436035018357,1.269062411748094,8.864903981926009,8.258260378424174,2.052739339169726,0.3600677774639932
Italy,2000,37.63,13.8,435.42,12.14,-34.35,472.22,21.38,506.57,69.2,152.9,7.61,73.4,16.02,116.4,0.6637620828335569,1.2206307768291822,2.6970295632540746,0.1342341071050589,0.2141395611373739,0.2434205884428138,-0.6059055951456995,1.2947153037465604,8.935475904889579,8.329570309743879,2.053199745995908,0.3771255203556057
Italy,2001,33.66,13.4,434.7,13.35,-34.99,469.3,22.59,504.29,72.9,149.2,7.19,70.9,15.91,118.5,0.5918241758241758,1.2817582417582418,2.6232967032967034,0.1264175824175824,0.2347252747252747,0.2356043956043956,-0.6152087912087912,1.2465934065934068,8.866637362637363,8.251428571428573,2.083516483516484,0.3971868131868131
Italy,2002,35.94,13.9,441.07,13.84,-34.96,477.71,21.82,512.67,69.0,158.9,7.25,70.0,15.13,120.7,0.6285084727978594,1.206652326740465,2.7787978944791285,0.1267859328821503,0.2420299739433048,0.2430792368361226,-0.6113705122151689,1.2241400416207613,8.965426787681654,8.354056275466485,2.1107671860517985,0.3815819386880716
Italy,2003,34.9,15.4,459.84,14.2,-34.78,495.79,21.63,530.57,73.7,164.6,7.12,76.5,16.22,121.8,0.6062711717189264,1.2802918440024322,2.85937635716147,0.1236862676973855,0.2466776687223139,0.2675236688960306,-0.6041865717015548,1.3289325110744377,9.216885260140712,8.612698688439156,2.115869017632241,0.3757491531312429
