Entity,Year,"Fertility rate (Select Gapminder, v12) (2017)"
Italy,1861,4.96
Italy,1862,4.93
Italy,1863,4.9
Italy,1864,4.9
Italy,1865,4.91
Italy,1866,4.91
Italy,1867,4.92
Italy,1868,4.92
Italy,1869,4.91
Italy,1870,4.9
Italy,1871,4.9
Italy,1872,4.89
Italy,1873,4.88
Italy,1874,4.89
Italy,1875,4.9
Italy,1876,4.9
Italy,1877,4.91
Italy,1878,4.92
Italy,1879,4.95
Italy,1880,4.98
Italy,1881,5.0
Italy,1882,5.03
Italy,1883,5.06
Italy,1884,5.05
Italy,1885,5.04
Italy,1886,5.04
Italy,1887,5.03
Italy,1888,5.02
Italy,1889,4.98
Italy,1890,4.95
Italy,1891,4.91
Italy,1892,4.88
Italy,1893,4.84
Italy,1894,4.79
Italy,1895,4.74
Italy,1896,4.69
Italy,1897,4.64
Italy,1898,4.59
Italy,1899,4.56
Italy,1900,4.53
Italy,1901,4.49
Italy,1902,4.46
Italy,1903,4.43
Italy,1904,4.44
Italy,1905,4.45
Italy,1906,4.45
Italy,1907,4.46
Italy,1908,4.47
Italy,1909,4.43
Italy,1910,4.39
Italy,1911,4.36
Italy,1912,4.32
Italy,1913,4.28
Italy,1914,4.04
Italy,1915,3.8
Italy,1916,3.56
Italy,1917,3.32
Italy,1918,3.08
Italy,1919,3.24
Italy,1920,3.41
Italy,1921,3.57
Italy,1922,3.74
Italy,1923,3.9
Italy,1924,3.81
Italy,1925,3.72
Italy,1926,3.64
Italy,1927,3.55
Italy,1928,3.46
Italy,1929,3.42
Italy,1930,3.38
Italy,1931,3.21
Italy,1932,3.06
Italy,1933,3.04
Italy,1934,3.0
Italy,1935,2.98
Italy,1936,2.87
Italy,1937,2.93
Italy,1938,3.05
Italy,1939,3.07
Italy,1940,3.07
Italy,1941,2.74
Italy,1942,2.69
Italy,1943,2.61
Italy,1944,2.39
Italy,1945,2.37
Italy,1946,3.01
Italy,1947,2.9
Italy,1948,2.84
Italy,1949,2.63
Italy,1950,2.45
Italy,1951,2.42
Italy,1952,2.37
Italy,1953,2.32
Italy,1954,2.29
Italy,1955,2.28
Italy,1956,2.28
Italy,1957,2.29
Italy,1958,2.32
Italy,1959,2.35
Italy,1960,2.39
Italy,1961,2.43
Italy,1962,2.47
Italy,1963,2.5
Italy,1964,2.52
Italy,1965,2.53
Italy,1966,2.53
Italy,1967,2.52
Italy,1968,2.5
Italy,1969,2.48
Italy,1970,2.44
Italy,1971,2.4
Italy,1972,2.35
Italy,1973,2.28
Italy,1974,2.2
Italy,1975,2.12
Italy,1976,2.03
Italy,1977,1.94
Italy,1978,1.85
Italy,1979,1.76
Italy,1980,1.69
Italy,1981,1.62
Italy,1982,1.55
Italy,1983,1.5
Italy,1984,1.45
Italy,1985,1.42
Italy,1986,1.38
Italy,1987,1.36
Italy,1988,1.34
Italy,1989,1.32
Italy,1990,1.3
Italy,1991,1.29
Italy,1992,1.27
Italy,1993,1.26
Italy,1994,1.25
Italy,1995,1.24
Italy,1996,1.23
Italy,1997,1.23
Italy,1998,1.23
Italy,1999,1.24
Italy,2000,1.25
Italy,2001,1.27
Italy,2002,1.29
Italy,2003,1.31
Italy,2004,1.34
Italy,2005,1.36
Italy,2006,1.38
Italy,2007,1.4
Italy,2008,1.41
Italy,2009,1.42
Italy,2010,1.43
Italy,2011,1.43
Italy,2012,1.43
Italy,2013,1.44
Italy,2014,1.45
Italy,2015,1.46
Italy,2016,1.47
Italy,2017,1.48
Italy,2018,1.5
Italy,2019,1.51
Italy,2020,1.52
Italy,2021,1.53
Italy,2022,1.54
Italy,2023,1.55
Italy,2024,1.56
Italy,2025,1.57
Italy,2026,1.57
Italy,2027,1.58
Italy,2028,1.59
Italy,2029,1.6
Italy,2030,1.6
Italy,2031,1.61
Italy,2032,1.62
Italy,2033,1.62
Italy,2034,1.63
Italy,2035,1.64
Italy,2036,1.64
Italy,2037,1.65
Italy,2038,1.65
Italy,2039,1.66
Italy,2040,1.66
Italy,2041,1.67
Italy,2042,1.67
Italy,2043,1.68
Italy,2044,1.68
Italy,2045,1.68
Italy,2046,1.69
Italy,2047,1.69
Italy,2048,1.7
Italy,2049,1.7
Italy,2050,1.7
Italy,2051,1.71
Italy,2052,1.71
Italy,2053,1.71
Italy,2054,1.72
Italy,2055,1.72
Italy,2056,1.72
Italy,2057,1.73
Italy,2058,1.73
Italy,2059,1.73
Italy,2060,1.73
Italy,2061,1.74
Italy,2062,1.74
Italy,2063,1.74
Italy,2064,1.74
Italy,2065,1.74
Italy,2066,1.75
Italy,2067,1.75
Italy,2068,1.75
Italy,2069,1.75
Italy,2070,1.75
Italy,2071,1.76
Italy,2072,1.76
Italy,2073,1.76
Italy,2074,1.76
Italy,2075,1.76
Italy,2076,1.76
Italy,2077,1.77
Italy,2078,1.77
Italy,2079,1.77
Italy,2080,1.77
Italy,2081,1.77
Italy,2082,1.77
Italy,2083,1.77
Italy,2084,1.77
Italy,2085,1.77
Italy,2086,1.78
Italy,2087,1.78
Italy,2088,1.78
Italy,2089,1.78
Italy,2090,1.78
Italy,2091,1.78
Italy,2092,1.78
Italy,2093,1.78
Italy,2094,1.78
Italy,2095,1.78
Italy,2096,1.78
Italy,2097,1.79
Italy,2098,1.79
Italy,2099,1.79
