Entity,Year,Child deaths (United Nations Population Division (2015))
Italy,1952,66401
Italy,1957,50698
Italy,1962,45344
Italy,1967,35868
Italy,1972,26880
Italy,1977,15201
Italy,1982,9389
Italy,1987,6416
Italy,1992,4991
Italy,1997,3623
Italy,2002,2785
Italy,2007,2338
Italy,2012,1431
