Entity,Year,Female-to-male life expectancy ratio at birth (OWID),Female minus male life expectancy at birth (OWID)
Italy,1950,1.0535337,3.4170036
Italy,1951,1.0546837,3.5019989
Italy,1952,1.0569754,3.6720047
Italy,1953,1.0593163,3.8450012
Italy,1954,1.061677,4.0189972
Italy,1955,1.0640924,4.1959991
Italy,1956,1.0665338,4.3740005
Italy,1957,1.0689875,4.552002
Italy,1958,1.0714222,4.7280045
Italy,1959,1.0738063,4.9000015
Italy,1960,1.0760275,5.060997
Italy,1961,1.0780503,5.2089996
Italy,1962,1.0798086,5.3399963
Italy,1963,1.0812491,5.451004
Italy,1964,1.0824007,5.5439987
Italy,1965,1.0832605,5.6190033
Italy,1966,1.0839229,5.6819992
Italy,1967,1.0844545,5.7369995
Italy,1968,1.0849509,5.7900009
Italy,1969,1.0854878,5.8460007
Italy,1970,1.0861403,5.909996
Italy,1971,1.0869521,5.9850006
Italy,1972,1.0879375,6.0719986
Italy,1973,1.0890205,6.1660004
Italy,1974,1.0901842,6.2659988
Italy,1975,1.0913265,6.3649979
Italy,1976,1.0923277,6.4550018
Italy,1977,1.0931307,6.5319977
Italy,1978,1.0936478,6.5899963
Italy,1979,1.0938509,6.6269989
Italy,1980,1.0937532,6.6440048
Italy,1981,1.0933819,6.6429977
Italy,1982,1.0928106,6.6289978
Italy,1983,1.0921614,6.6100006
Italy,1984,1.0914644,6.5879974
Italy,1985,1.0908462,6.5709991
Italy,1986,1.0903282,6.5599976
Italy,1987,1.0899464,6.5569992
Italy,1988,1.0896738,6.5599976
Italy,1989,1.0894945,6.5680008
Italy,1990,1.0893321,6.576004
Italy,1991,1.0890954,6.5779953
Italy,1992,1.088719,6.5699997
Italy,1993,1.0881118,6.5459976
Italy,1994,1.0872715,6.5059967
Italy,1995,1.0861843,6.4489975
Italy,1996,1.0848796,6.3770065
Italy,1997,1.0834328,6.2950058
Italy,1998,1.0819213,6.2080002
Italy,1999,1.0803479,6.1159973
Italy,2000,1.0787733,6.0230026
Italy,2001,1.0771996,5.9290009
Italy,2002,1.0755908,5.8310013
Italy,2003,1.0740038,5.7330017
Italy,2004,1.0724148,5.6329956
Italy,2005,1.0708404,5.5319977
Italy,2006,1.0693078,5.4319992
Italy,2007,1.0678027,5.3320007
Italy,2008,1.066321,5.2320023
Italy,2009,1.0648602,5.1319962
Italy,2010,1.063416,5.0319977
Italy,2011,1.0619706,4.9309998
Italy,2012,1.0605332,4.8300018
Italy,2013,1.0591007,4.7290039
Italy,2014,1.0576859,4.6289978
Italy,2015,1.0563399,4.5340042
