Entity,Year,Life Expectancy (OECD)
Italy,1961,69.8
Italy,1971,72.0
Italy,1974,72.6
Italy,1975,72.7
Italy,1976,72.8
Italy,1977,73.4
Italy,1978,73.8
Italy,1979,74.1
Italy,1980,74.0
Italy,1981,74.3
Italy,1982,74.7
Italy,1983,74.8
Italy,1984,75.0
Italy,1985,75.6
Italy,1986,75.9
Italy,1987,76.3
Italy,1988,76.5
Italy,1989,76.9
Italy,1990,77.1
Italy,1991,77.1
Italy,1992,77.5
Italy,1993,77.8
Italy,1994,78.0
Italy,1995,78.3
Italy,1996,78.6
Italy,1997,78.9
Italy,1998,79.1
Italy,1999,79.5
Italy,2000,79.9
Italy,2001,80.2
Italy,2002,80.3
Italy,2003,80.1
Italy,2004,80.9
Italy,2005,80.9
Italy,2006,81.4
Italy,2007,81.5
Italy,2008,81.6
Italy,2009,81.7
Italy,2010,82.1
Italy,2011,82.3
Italy,2012,82.3
Italy,2013,82.8
Italy,2014,83.2
Italy,2015,82.6
