Entity,Year,Historical European trade (Brian Mitchell (2015))
Italy,1900,23
Italy,1901,23
Italy,1902,25
Italy,1903,24
Italy,1904,25
Italy,1905,26
Italy,1906,29
Italy,1907,28
Italy,1908,28
Italy,1909,28
Italy,1910,30
Italy,1911,28
Italy,1912,30
Italy,1913,29
Italy,1914,25
Italy,1915,31
Italy,1916,36
Italy,1917,41
Italy,1918,37
Italy,1919,35
Italy,1920,41
Italy,1921,26
Italy,1922,23
Italy,1923,24
Italy,1924,28
Italy,1925,30
Italy,1926,28
Italy,1927,26
Italy,1928,26
Italy,1929,26
Italy,1930,24
Italy,1931,20
Italy,1932,14
Italy,1933,14
Italy,1934,13
Italy,1935,12
Italy,1936,10
Italy,1937,17
Italy,1938,14
Italy,1939,13
Italy,1940,13
Italy,1941,11
Italy,1942,11
